name,kind,x_lo,x_hi,u_lo,u_hi,v_lo,v_hi,e_hi,standalone_result_present
FR74,shifted,0.00014285714285714287,0.00017241379310344826,4.545454545454545e-05,6.25e-05,0.00014285714285714287,0.00017241379310344826,0.00025,False
FR76,shifted,0.00014285714285714287,0.00017241379310344826,3.3333333333333335e-05,8.333333333333333e-05,0.00015384615384615385,0.0001923076923076923,0.00016666666666666666,False
FR78,shifted,0.00014285714285714287,0.00017241379310344826,5e-05,7.142857142857143e-05,0.00013333333333333334,0.00016129032258064516,0.00025,False
FR80,shifted,0.00014285714285714287,0.00017241379310344826,5e-05,8.333333333333333e-05,0.00013333333333333334,0.00016129032258064516,0.00025,False
FR82,shifted,0.00014285714285714287,0.00017241379310344826,0,3.3333333333333335e-05,0.0001923076923076923,0.0002380952380952381,0.00016666666666666666,False
FR84,shifted,0.00014285714285714287,0.00017241379310344826,8.333333333333333e-05,0.000125,0.00013333333333333334,0.00016129032258064516,0.00025,False
FR86,shifted,8.333333333333333e-05,0.00016949152542372882,0.0005,0.000625,0,3.3333333333333335e-05,2e-05,False
FR88,shifted,0.000125,0.00015384615384615385,0.00016666666666666666,0.00020833333333333335,0.00011111111111111112,0.00014285714285714287,0.0002,False
FR90,shifted,0.00014285714285714287,0.00020833333333333335,0.00020833333333333335,0.00035714285714285714,2e-05,5e-05,1e-05,False
FR92,shifted,0.00014285714285714287,0.00017241379310344826,8.333333333333333e-05,0.000125,0.00016129032258064516,0.0001923076923076923,0.00025,False
FR94,shifted,9.09090909090909e-05,0.000125,0.00037037037037037035,0.00045454545454545455,0,3.3333333333333335e-05,5e-05,False
FR96,shifted,0.00015384615384615385,0.00022222222222222223,0.00013333333333333334,0.00016666666666666666,0.00011111111111111112,0.00014285714285714287,0.0002,False
FR98,shifted,0.00015384615384615385,0.00022727272727272727,0.00016666666666666666,0.00020833333333333335,0.00011111111111111112,0.00014285714285714287,0.0002,False
FR100,shifted,0.00013333333333333334,0.00014285714285714287,8.333333333333333e-05,0.000125,0.00013333333333333334,0.00016129032258064516,0.00025,False
FR102,shifted,0.00013333333333333334,0.00014285714285714287,0.000125,0.0001818181818181818,0.00013333333333333334,0.00016129032258064516,0.00025,False
FR104,shifted,0.00014285714285714287,0.00017241379310344826,0,3.3333333333333335e-05,0.00011111111111111112,0.00015384615384615385,0.00016666666666666666,False
FR106,shifted,0.00015384615384615385,0.00022222222222222223,0.00013333333333333334,0.00016666666666666666,7.692307692307693e-05,0.00011111111111111112,0.0002,False
FR108,shifted,0.00014285714285714287,0.0001818181818181818,0.000125,0.0001818181818181818,0.00013333333333333334,0.00016129032258064516,0.00025,False
FR110,shifted,0.000125,0.0002173913043478261,0.00011764705882352942,0.00014705882352941175,0.00014285714285714287,0.00022222222222222223,1e-05,False
FR112,shifted,0.00015384615384615385,0.00022222222222222223,0.00016666666666666666,0.0002,7.692307692307693e-05,0.00011111111111111112,0.0002,False
FR114,shifted,0.00014285714285714287,0.00020833333333333335,0.00015384615384615385,0.00020833333333333335,5e-05,0.00011111111111111112,1e-05,False
FR116,shifted,0.00017241379310344826,0.00025,0,3.3333333333333335e-05,0.0001923076923076923,0.0002380952380952381,0.00016666666666666666,False
FR118,shifted,0.00016129032258064516,0.00018518518518518518,0.00014705882352941175,0.00016666666666666666,0.0001818181818181818,0.0002,0.0005,True
FR120,shifted,0.00017241379310344826,0.00025,0,3.3333333333333335e-05,0.00015384615384615385,0.0001923076923076923,0.00016666666666666666,False
FR122,shifted,0.00014285714285714287,0.00017241379310344826,3.3333333333333335e-05,6.25e-05,0.0001923076923076923,0.0002380952380952381,0.0002,True
FR124,shifted,0.00014285714285714287,0.00017241379310344826,8.333333333333333e-05,0.000125,0.00010526315789473685,0.00013333333333333334,0.00025,False
FR126,shifted,0.0002,0.00030303030303030303,4e-05,8.333333333333333e-05,0.00015384615384615385,0.00023255813953488373,1e-05,True
FR128,shifted,0.00014285714285714287,0.00017241379310344826,0.0003333333333333333,0.0004,6.25e-05,8.333333333333333e-05,0.0003333333333333333,True
FR130,shifted,0.00016666666666666666,0.0002,4e-05,6.666666666666667e-05,0.00023255813953488373,0.0002631578947368421,0.0004,True
FR132,shifted,0.00014285714285714287,0.00017241379310344826,3.3333333333333335e-05,7.142857142857143e-05,0.00011111111111111112,0.00015384615384615385,0.00016666666666666666,True
FR134,shifted,9.09090909090909e-05,0.00015197568389057752,0.00037037037037037035,0.00045454545454545455,0,3.3333333333333335e-05,5e-05,False
FR136,shifted,0.00016129032258064516,0.00026737967914438503,0.00014705882352941175,0.00016666666666666666,0.0001818181818181818,0.0002,0.0005,False
FR138,shifted,0.00011363636363636364,0.00016129032258064516,0.00014705882352941175,0.00016666666666666666,0.0001818181818181818,0.0002,0.0005,False
FR140,shifted,0.00015384615384615385,0.00022222222222222223,0.0002,0.00024154589371980676,7.692307692307693e-05,0.00011111111111111112,0.0002,False
