s	U	lambda	mu0	mu1	mu2	mu3	theta0	theta1	theta2	theta3	transverse_min_eig
1.961899895355573298e-01	2.010233554275553391e-02	1.474895664682761010e-01	9.583139688594917438e-02	1.099227729920642382e-01	1.067809417461750288e-01	7.656912431886370163e-02	4.322228870813243917e-01	4.885428025554885423e-01	4.768845583621156292e-01	3.417218294893015762e-01	1.484351137395122811e+00
2.021351407336045014e-01	2.097871752686199243e-02	1.473004109799494754e-01	9.904451648749039439e-02	1.132632111484266901e-01	1.098386361377587106e-01	7.871407215541142977e-02	4.440730466378321473e-01	5.008613447509313588e-01	4.881517307268503636e-01	3.496243681459867969e-01	1.492864352951459139e+00
2.080802919316517008e-01	2.185340209818611990e-02	1.469195610733954327e-01	1.022619558131555306e-01	1.165999121299190061e-01	1.128955424839555438e-01	8.085960527407987097e-02	4.558406347265591685e-01	5.130622579523056448e-01	4.993122085665824827e-01	3.574549844836532042e-01	1.501882196106840039e+00
2.140254431296989002e-01	2.272526762844503945e-02	1.463530553906796094e-01	1.054831759156395626e-01	1.199327777894125951e-01	1.159520203932756233e-01	8.300607489502950798e-02	4.675267544546792831e-01	5.251484449457056725e-01	5.103705977502555058e-01	3.652173186694384621e-01	1.511407238623869720e+00
2.199705943277460995e-01	2.359322795050503019e-02	1.456067851915001377e-01	1.087076758469050636e-01	1.232617281229958922e-01	1.190084009680346527e-01	8.515379617659235567e-02	4.791325743902060674e-01	5.371227962259511601e-01	5.213313183727875666e-01	3.729148198101862599e-01	1.521441987437567311e+00
2.259157455257932712e-01	2.445623149085636439e-02	1.446864973350959760e-01	1.119349898112828035e-01	1.265866998683735922e-01	1.220649889292353685e-01	8.730305099137561364e-02	4.906593195105363181e-01	5.489881863985749400e-01	5.321986142702259670e-01	3.805507574275963090e-01	1.531988925337836260e+00
2.318608967238404706e-01	2.531326042081119554e-02	1.435977975835525389e-01	1.151646845428695998e-01	1.299076451710423630e-01	1.251220645857706038e-01	8.945409052692393503e-02	5.021082631503833715e-01	5.607474710077440250e-01	5.429765621299993406e-01	3.881282324052653943e-01	1.543050547506625625e+00
2.378060479218876699e-01	2.616332982811832297e-02	1.423461541585535894e-01	1.183963568910281483e-01	1.332245303179611651e-01	1.281798856577658352e-01	9.160713771914144599e-02	5.134807198539083073e-01	5.724034837522972152e-01	5.536690801960104658e-01	3.956501874118343309e-01	1.554629394371825013e+00
2.437511991199348416e-01	2.700548691033721749e-02	1.409369014935077102e-01	1.216296315984927573e-01	1.365373345379876369e-01	1.312386889636455722e-01	9.376238952670284954e-02	5.247780390435549114e-01	5.839590340557668791e-01	5.642799365727569905e-01	4.031194168083999663e-01	1.566728081199483258e+00
2.496963503179820409e-01	2.783881019097257659e-02	1.393752441315862234e-01	1.248641592573482562e-01	1.398460488679967861e-01	1.342986919802100221e-01	9.592001905457195332e-02	5.360015994253565230e-01	5.954169049595907648e-01	5.748127571362460220e-01	4.105385760512582083e-01	1.579349324807689525e+00
2.556415015160292126e-01	2.866240875910704144e-02	1.376662607277482075e-01	1.280996144289687499e-01	1.431506750833063113e-01	1.373600942846399109e-01	9.808017753459200017e-02	5.471528040574045182e-01	6.067798513117050874e-01	5.852710330621616608e-01	4.179101906033865776e-01	1.592495967749482544e+00
2.615866527140764397e-01	2.947542153305807155e-02	1.358149081193472107e-01	1.313356939148379310e-01	1.464512246907991866e-01	1.404230788869238189e-01	1.002429961709073170e-01	5.582330760146377857e-01	6.180505982253823305e-01	5.956581279837143139e-01	4.252366643698327064e-01	1.606171000279139394e+00
2.675318039121236113e-01	3.027701654834966116e-02	1.338260254356255785e-01	1.345721151660191073e-01	1.497477179829500016e-01	1.434878134607705524e-01	1.024085878577250530e-01	5.692438545891841395e-01	6.292318397855733991e-01	6.059772847930658957e-01	4.325202876734519641e-01	1.620377580385711225e+00
2.734769551101708385e-01	3.106639027018154309e-02	1.317043382212877700e-01	1.378086148198732486e-01	1.530401831508125809e-01	1.465544514806043364e-01	1.045770487766690404e-01	5.801865919711037822e-01	6.403262379821076378e-01	6.162316321011659381e-01	4.397632447883663143e-01	1.635119052150004526e+00
2.794221063082180101e-01	3.184276693039317374e-02	1.294544625536421245e-01	1.410449473534385878e-01	1.563286554539186080e-01	1.496231332717817275e-01	1.067484598806947016e-01	5.910627503596055377e-01	6.513364218510235837e-01	6.264241903714281579e-01	4.469676210491364543e-01	1.650398962656070667e+00
2.853672575062651817e-01	3.260539788885302714e-02	1.270809091364397958e-01	1.442808838436659136e-01	1.596131764449529866e-01	1.526939869807133476e-01	1.089228882712429125e-01	6.018737994596026208e-01	6.622649868069736545e-01	6.365578777429783397e-01	4.541354095539481550e-01	1.666221077665645645e+00
2.913124087043124089e-01	3.335356101907446802e-02	1.245880873567366820e-01	1.475162108254603754e-01	1.628937932470102268e-01	1.557671294711212850e-01	1.111003884750297876e-01	6.126212143229208262e-01	6.731144941511300051e-01	6.466355155592273807e-01	4.612685174803184962e-01	1.682589396243658664e+00
2.972575599023595805e-01	3.408656011781360795e-02	1.219803092938036709e-01	1.507507292391858100e-01	1.661705578812072981e-01	1.588426671522301381e-01	1.132810036265722853e-01	6.233064734974839149e-01	6.838874707403859166e-01	6.566598336173987693e-01	4.683687720317605274e-01	1.699508164504614616e+00
3.032027111004067521e-01	3.480372433834416634e-02	1.192617936714675531e-01	1.539842534599675794e-01	1.694435266424011433e-01	1.619206967442742284e-01	1.154647665622679231e-01	6.339310574515505392e-01	6.945864088048148144e-01	6.666334751543515624e-01	4.754379260337082691e-01	1.716981888633624553e+00
3.091478622984539792e-01	3.550440764703394203e-02	1.164366697472543205e-01	1.572166104017579391e-01	1.727127595207642308e-01	1.650013059863015830e-01	1.176517008315646762e-01	6.444964472434232539e-01	7.052137659014470206e-01	6.765590015836366877e-01	4.824776631967238605e-01	1.735015347321164025e+00
3.150930134965011509e-01	3.618798830284727930e-02	1.135089811334275695e-01	1.604476386897189244e-01	1.759783196669743588e-01	1.680845742908801399e-01	1.198418216304882322e-01	6.550041234101450227e-01	7.157719649933655948e-01	6.864388969982480049e-01	4.894896030646816443e-01	1.753613603738095605e+00
3.210381646945483225e-01	3.685386835935478000e-02	1.104826895464652708e-01	1.636771878950322168e-01	1.792402728988052585e-01	1.711705733499573334e-01	1.220351366625195833e-01	6.654555650515006082e-01	7.262633946440184562e-01	6.962755724530148571e-01	4.964753056651489693e-01	1.772782017166041113e+00
3.269833158925955496e-01	3.750147318881352776e-02	1.073616784827733789e-01	1.669051178267494662e-01	1.824986872469302468e-01	1.742593676957864823e-01	1.242316469315687677e-01	6.758522490881582190e-01	7.366904093174256873e-01	7.060713700399834369e-01	5.034362758787673808e-01	1.792526254388336682e+00
3.329284670906427213e-01	3.813025102787598319e-02	1.041497568194805767e-01	1.701312978757756611e-01	1.857536325377979747e-01	1.773510152205265422e-01	1.264313474715332286e-01	6.861956496751102641e-01	7.470553297756857836e-01	7.158285667695788446e-01	5.103739675438713208e-01	1.812852300938120331e+00
3.388736182886898929e-01	3.873967254448693054e-02	1.008506623400512864e-01	1.733556064065069346e-01	1.890051800114807279e-01	1.804455676578236023e-01	1.286342280166919427e-01	6.964872377536329706e-01	7.573604435658481959e-01	7.255493782697122196e-01	5.172897873120572143e-01	1.833766472292515992e+00
3.448187694867371200e-01	3.932923042551303427e-02	9.746806518522369012e-02	1.765779301920521460e-01	1.922534019724601306e-01	1.835430710294214673e-01	1.308402736169593517e-01	7.067284807268704450e-01	7.676080055888380160e-01	7.352359623144222311e-01	5.241850982698506023e-01	1.855275425095370023e+00
3.507639206847842916e-01	3.989843898467590466e-02	9.400557123039494922e-02	1.797981638893267342e-01	1.954983714713633414e-01	1.866435660595893720e-01	1.330494652017912005e-01	7.169208422458465124e-01	7.778002387436715459e-01	7.448904221930450209e-01	5.310612233410189065e-01	1.877386168485339901e+00
3.567090718828315188e-01	4.044683379034055837e-02	9.046672539113435885e-02	1.830162095506530084e-01	1.987401620157366600e-01	1.897470885599304158e-01	1.352617800963324957e-01	7.270657820942267868e-01	7.879393346407470577e-01	7.545148099303389255e-01	5.379194484835149170e-01	1.900106075601510014e+00
3.626542230808786904e-01	4.097397131275856696e-02	8.685501485893146190e-02	1.862319761688014941e-01	2.019788473080043611e-01	1.928536697869162597e-01	1.374771924931824374e-01	7.371647561615357613e-01	7.980274543784666719e-01	7.641111293674338611e-01	5.447610256944287466e-01	1.923442895334502412e+00
3.685993742789258620e-01	4.147942859033637575e-02	8.317387226968328551e-02	1.894453792526923364e-01	2.052145010088335386e-01	1.959633367743001120e-01	1.396956738829612243e-01	7.472192164957703886e-01	8.080667293779300042e-01	7.736813391129624407e-01	5.515871758357442367e-01	1.947404764388005249e+00
