s	U	lambda	mu0	mu1	mu2	mu3	theta0	theta1	theta2	theta3	transverse_min_eig
3.745445254769730892e-01	4.196280291455478650e-02	7.942667880772101563e-02	1.926563404312311156e-01	2.084471965241957159e-01	1.990761126423774841e-01	1.419171934466731400e-01	7.572306114274578448e-01	8.180592622708605655e-01	7.832273553732096438e-01	5.583990912931312556e-01	1.972000219712885416e+00
3.804896766750202608e-01	4.242371153315410703e-02	7.561676724845860231e-02	1.958647870829858251e-01	2.116770068144907258e-01	2.021920168858997169e-01	1.441417184126830842e-01	7.672003857582181396e-01	8.280071278363473342e-01	7.927510546696605598e-01	5.651979384794255656e-01	1.997238211374104289e+00
3.864348278730674324e-01	4.286179137123669047e-02	7.174742494293685768e-02	1.990706519896209281e-01	2.149040042241695814e-01	2.053110656422929836e-01	1.463692143809462998e-01	7.771299810077720860e-01	8.379123739823763906e-01	8.022542764518687530e-01	5.719848601938927191e-01	2.023128115909157643e+00
3.923799790711146596e-01	4.327669876994733045e-02	6.782189674775437882e-02	2.022738730112016436e-01	2.181282603303703604e-01	2.084332719416973900e-01	1.485996456169762503e-01	7.870208357141594835e-01	8.477770227684930937e-01	8.117388256131602420e-01	5.787609778478505218e-01	2.049679750235885223e+00
3.983251302691618312e-01	4.366810924241792957e-02	6.384338790399937680e-02	2.054743927816468640e-01	2.213498458091496257e-01	2.115586459402096775e-01	1.508329753178710431e-01	7.968743857826482424e-01	8.576030714663059884e-01	8.212064749162768518e-01	5.855273935666853724e-01	2.076903386167042509e+00
4.042702814672090028e-01	4.403571724669236298e-02	5.981506686894683816e-02	2.086721584227746729e-01	2.245688303179707856e-01	2.146871951376050913e-01	1.530691658525758503e-01	8.066920648794630999e-01	8.673924936548687015e-01	8.306589673357406278e-01	5.922851921778121698e-01	2.104809765589100046e+00
4.102154326652562299e-01	4.437923597534304543e-02	5.574006810438945220e-02	2.118671212755198485e-01	2.277852823931764970e-01	2.178189245806977370e-01	1.553081789784146460e-01	8.164753048670591040e-01	8.771472403483197011e-01	8.400980183233460741e-01	5.990354430936274399e-01	2.133410116363254616e+00
4.161605838633034016e-01	4.469839716155837861e-02	5.162149482556842306e-02	2.150592366470364947e-01	2.309992693612472059e-01	2.209538370534109564e-01	1.575499760357936818e-01	8.262255362781847357e-01	8.868692411534541131e-01	8.495253180029003204e-01	6.057792020980732328e-01	2.162716169007472988e+00
4.221057350613506287e-01	4.499295090145649656e-02	4.746242171475610616e-02	2.182484635725098210e-01	2.342108572627136787e-01	2.240919332545347198e-01	1.597945181228492273e-01	8.359441888264522724e-01	8.965604054552268609e-01	8.589425333000554330e-01	6.125175130449608263e-01	2.192740174219959925e+00
4.280508862593978003e-01	4.526266549244317705e-02	4.326589760363198922e-02	2.214347645906099282e-01	2.374201107876618144e-01	2.272332119640724513e-01	1.620417662516919211e-01	8.456326919515760876e-01	9.062226236284666170e-01	8.683513100128086304e-01	6.192514094757978205e-01	2.223494921306026217e+00
4.339960374574449720e-01	4.550732728742967748e-02	3.903494812864734959e-02	2.246181055316107955e-01	2.406270932218251557e-01	2.303776701989982412e-01	1.642916814877894705e-01	8.552924753978098371e-01	9.158577682743479498e-01	8.777532748280200137e-01	6.259819161644847307e-01	2.254993757572721247e+00
4.399411886554921991e-01	4.572674056476927484e-02	3.477257836367632360e-02	2.277984553172890947e-01	2.438318664023362004e-01	2.335253033591910554e-01	1.665442250739189722e-01	8.649249698244896312e-01	9.254676954804786915e-01	8.871500372890922526e-01	6.327100505958487275e-01	2.287250608758147230e+00
4.458863398535393707e-01	4.592072741379210621e-02	3.048177543429648681e-02	2.309757857717825713e-01	2.470344906822515840e-01	2.366761053642362223e-01	1.687993585400178465e-01	8.745316074478878265e-01	9.350542461036813746e-01	8.965431917197670408e-01	6.394368243846452193e-01	2.320280000565477785e+00
