d,k_strict,dk_dd,rho_gr,selector_source
2.2500000000,0.1576423254,-0.1215996729,1.0000000000,0.1576423254
2.3000000000,0.1517073660,-0.1159653665,1.0000000000,0.1517073660
2.3500000000,0.1460457887,-0.1106535390,1.0000000000,0.1460457887
2.4000000000,0.1406420121,-0.1056432253,1.0000000000,0.1406420121
2.4500000000,0.1354814662,-0.1009148744,1.0000000000,0.1354814662
2.5000000000,0.1305505246,-0.0964502656,1.0000000000,0.1305505246
2.5500000000,0.1258364397,-0.0922324264,1.0000000000,0.1258364397
2.6000000000,0.1213272820,-0.0882455527,1.0000000000,0.1213272820
2.6500000000,0.1170118844,-0.0844749315,1.0000000000,0.1170118844
2.7000000000,0.1128797889,-0.0809068669,1.0000000000,0.1128797889
2.7500000000,0.1089211977,-0.0775286105,1.0000000000,0.1089211977
2.8000000000,0.1051269278,-0.0743282952,1.0000000000,0.1051269278
2.8500000000,0.1014883682,-0.0712948728,1.0000000000,0.1014883682
2.9000000000,0.0979974405,-0.0684180557,1.0000000000,0.0979974405
2.9500000000,0.0946465626,-0.0656882624,1.0000000000,0.0946465626
3.0000000000,0.0914286143,-0.0630965665,1.0000000000,0.0914286143
3.0500000000,0.0883369060,-0.0606346494,1.0000000000,0.0883369060
3.1000000000,0.0853651493,-0.0582947563,1.0000000000,0.0853651493
3.1500000000,0.0825074303,-0.0560696553,1.0000000000,0.0825074303
3.2000000000,0.0797581838,-0.0539525992,1.0000000000,0.0797581838
3.2500000000,0.0771121704,-0.0519372910,1.0000000000,0.0771121704
3.3000000000,0.0745644547,-0.0500178505,1.0000000000,0.0745644547
3.3500000000,0.0721103853,-0.0481887852,1.0000000000,0.0721103853
3.4000000000,0.0697455762,-0.0464449613,1.0000000000,0.0697455762
3.4500000000,0.0674658892,-0.0447815792,1.0000000000,0.0674658892
3.5000000000,0.0652674183,-0.0431941485,1.0000000000,0.0652674183
3.5500000000,0.0631464744,-0.0416784668,1.0000000000,0.0631464744
3.6000000000,0.0610995716,-0.0402305990,1.0000000000,0.0610995716
3.6500000000,0.0591234145,-0.0388468584,1.0000000000,0.0591234145
3.7000000000,0.0572148858,-0.0375237895,1.0000000000,0.0572148858
3.7500000000,0.0553710355,-0.0362581518,1.0000000000,0.0553710355
3.8000000000,0.0535890706,-0.0350469049,1.0000000000,0.0535890706
3.8500000000,0.0518663450,-0.0338871946,1.0000000000,0.0518663450
3.9000000000,0.0502003511,-0.0327763405,1.0000000000,0.0502003511
3.9500000000,0.0485887110,-0.0317118238,1.0000000000,0.0485887110
4.0000000000,0.0470291687,-0.0311908446,1.0000000000,0.0470291687
