pair,window_idx,max_abs_corr,mean_abs_corr,corr_at_0ms,corr_at_10ms
H1-L1,158,0.0072596002784215,0.0028843915651381,0.0015402265032248,0.0057231215667895
H1-L1,159,0.0107055528389559,0.0061339943914141,0.0048034200729214,0.0096465941096727
H1-L1,160,0.0131011678769975,0.006858586840509,-0.0002296262277382,0.0110360675188392
H1-L1,161,0.0067466171254766,0.0035052255451788,-0.005733024099825,0.0014652668096219
H1-L1,162,0.0048488157117143,0.0022247530945075,-0.0018422839953797,-0.0024291927377628
H1-L1,163,0.0072068817335508,0.0039393652612997,-0.0053452704243439,-0.0028297347413125
H1-L1,164,0.0066258312607453,0.0038223134067477,-0.0049057275601459,-0.002166550051708
H1-L1,165,0.0078010975989203,0.0049054319784516,-0.0064608000897482,-0.0032316103848776
H1-L1,166,0.0087713475291899,0.0042129036137636,-0.0041465603671111,0.0019640981467522
H1-L1,167,0.009414563594743,0.0065340736904276,-0.0091807330275824,-0.0061237364218754
H1-L1,168,0.0106801636324351,0.0066528450986861,-0.0100021217512002,-0.0072682130813066
H1-L1,169,0.0072223562339726,0.003902894631346,-0.0048677372855685,-0.0056607365942253
H1-L1,170,0.0127135019047789,0.0076565723625535,-0.012185282878109,-0.0069362176853308
H1-L1,171,0.007742840862531,0.00447177572127,-0.0031616635503411,0.0040537110015901
H1-L1,172,0.0060472178710272,0.003735871985829,-0.0015965997441801,0.0039099126951835
H1-L1,173,0.0118084068508877,0.0074834580204705,-0.0067648031723795,0.007094983663552
H1-L1,174,0.009162440473486,0.0056936710897039,0.0052624502666141,0.0088810808857883
H1-L1,175,0.005240499983119,0.0028760757271514,0.0028280233202398,0.0035975867109498
H1-L1,176,0.0071777878089158,0.0038710605396926,0.0020066763556816,-0.004649744217919
H1-L1,177,0.0108533845728076,0.0070279151419328,0.0055707710189305,-0.0071803247886226
H1-L1,178,0.010674280941235,0.006909159518016,0.0001803373796618,-0.0095589489788324
H1-L1,179,0.0082295860179956,0.0044214546749994,0.0006943312032794,-0.0049081330049987
H1-L1,180,0.0039763919092443,0.0022903305260342,0.0037299223149476,0.0013775663184403
H1-L1,181,0.0051817368702487,0.0021843659105181,0.0015288316356687,-0.0023530736461432
H1-L1,182,0.0077639721150231,0.0037600477667023,0.0064069877944533,0.0056171288088993
H1-L1,183,0.012138694254428,0.0068614772256387,0.0097510077609009,0.0086746710105484
H1-L1,184,0.013572148568434,0.0075537425731098,0.0093217930671497,0.0108080861545807
H1-L1,185,0.015530214758291,0.0089378963351474,0.0113881653194653,0.012624274363632
H1-L1,186,0.0093836317547339,0.0041097065354743,-0.0038445484554003,0.004878888958728
H1-L1,187,0.0061394586795561,0.0027116322420512,-0.0045154904236677,0.0009239196396995
H1-L1,188,0.0112230446546907,0.005851746123528,-0.0102322814607523,-0.0039768316293007
H1-L1,189,0.013848797924074,0.0074364211524867,-0.0119891226281749,-0.006658684937368
H1-L1,190,0.0073256165790579,0.0037619309608031,0.003974828856699,-0.001640364678466
H1-L1,191,0.011886757426293,0.0066912681404459,-0.0023715692821685,-0.0111314048065367
H1-L1,192,0.0068914394854056,0.0030128319714086,0.0018328165059879,-0.0045963589131312
