pair_id,theta_deg,hxy,f_mean,f_std,f_slope,f_quad,f_spread,f_autoc1,f_switch
P0078,120.51140555306705,0.5695759977863086,0.1642789753780836,1.5655818122624856,0.0032792546279828447,4.236769697758645e-05,1.4250387203611172,0.003517748461735245,0.5106424148606812
P0079,87.01003969857553,0.6115813056251095,0.07084073252561132,0.9590742567281102,0.0005598318891431181,1.3119133456940724e-05,1.3079964910069597,-0.050297945797432644,0.5050575473258809
P0080,123.28990634637874,0.5662382826774897,0.031339269464214836,2.023097045280279,0.000389363737325152,8.08696454870857e-05,3.756034303831064,0.30141203754563173,0.4626111055627684
P0081,122.92550536404542,0.5786192783297316,0.03200543942317608,0.9420050966461729,0.00045519282575345703,3.150078298010483e-05,1.0643121141236196,-0.05611411346487044,0.5115955739020754
P0082,95.17093578815928,0.6188455166556106,0.07304955793986065,1.613634007945388,0.0041391903220409695,0.00033522041978484204,2.123479529817981,-0.02296543119102624,0.5042777722294352
P0083,54.96003934321492,0.6521986152962203,0.019375194459108975,0.7782723596532853,0.00026484398246612,3.601649097321299e-06,1.7093969291632782,0.3028819893561283,0.4205414012738854
P0084,74.20112680539883,0.629363763028561,0.013433546512412357,0.4118877011462454,2.6295714162517628e-05,8.305182259425145e-07,0.765375853838008,0.31768843898231997,0.4377971185296026
P0085,43.571785133281296,0.6507352330436422,0.009770122911754987,0.41278852744251493,4.217367702699213e-05,5.095667690053239e-08,0.6008407536303766,0.05513783065479689,0.49118360310874776
P0086,151.36656736246638,0.5440152603212477,0.006940502587478732,0.30512690198776127,3.894410286489653e-05,1.0848693417573328e-08,0.5326574172174295,0.09727925309767262,0.4746981708700849
P0087,42.7042038079453,0.6609788027320992,0.040374576226410455,0.8975890365197369,7.879021767862443e-05,7.04661199260838e-06,1.1980178353535504,0.26517764237930896,0.42908411484172454
P0088,66.62319532519504,0.6147408987907109,0.004627256480349606,0.23218116832336066,3.4032616378824976e-05,2.3891405567713027e-07,0.4647328656942959,0.09680383708795748,0.48693484389683617
P0089,15.576456259395114,0.6711045498404633,0.013908162180478148,0.5682767564919327,4.2431717427325014e-05,2.2858338481688185e-06,1.0954673575824638,0.14442034098197654,0.46845226478363466
P0090,55.395410755595265,0.635991573199053,0.04409948280156589,0.62295630648175,0.0009931036165460542,1.799936148717451e-05,0.8833122513583506,0.16418084412959982,0.49951135835543037
