pair_id,theta_deg,hxy,f_mean,f_std,f_slope,f_quad,f_spread,f_autoc1,f_switch
E00724,2.3916514159610864,0.442356871395994,0.03141282261665155,0.6149301147282052,0.0002796439898632097,5.9853773969920425e-06,0.7629685718595519,-0.028058922703538762,0.5482452555699038
E00725,22.27277208118122,0.6603544433179868,0.02025551449776821,1.3395119394873078,0.003053765113970347,0.00016897308615319793,2.3214977005390667,0.08586230471140689,0.4810040819057816
E00726,37.66873419253288,0.3014630676036314,0.03021790896211198,0.6425461916191103,0.00020412440211280307,4.521870273554478e-05,0.809111977091708,-0.010721474410134796,0.5064408437168052
E00727,55.224685414374456,0.7975962988101708,0.0068793992223247485,1.5493242849718238,0.00019895841506296794,7.973607934520954e-05,3.1541101916045116,0.2838477390731899,0.4561804931961042
E00728,82.10104847311318,0.4356084453085716,0.024758332685204422,2.4158121064150344,0.007391791702312426,0.00017088831030175676,3.8207094924191933,0.04061607834726638,0.46720199857244826
E00729,143.29820927215073,0.7725498716865087,0.01579553771875532,2.7237781588323218,0.001652069292582296,0.0001658668415099535,5.217139958271199,0.1747244929151851,0.48267818904863874
E00730,121.75284673452805,0.13700459628495665,0.007545569181285993,0.4682323363377177,0.000264787503491273,3.036721683822868e-05,0.46238800189706736,-0.07367841193731224,0.5051649615354112
E00731,55.48830829852029,0.1456719782382922,0.020789485618811873,0.49801214960939366,4.1148666354336e-05,2.992991432309202e-05,0.590169589154567,-0.048440562136540403,0.5103392534744091
E00732,41.0040481003284,0.34444143180230974,0.06586510348345957,0.6397114138086878,0.0010934299788433637,3.0866433424454996e-05,0.8144819476782146,0.023666990397850085,0.5103392534744091
E00733,52.111705187134326,0.0,0.06228066692770072,0.7445159475668555,0.0004236035586211737,0.0001454068843628498,1.0971143244555521,-0.1227085198250682,0.5673670150740984
E00734,62.00270460541469,0.0,0.0322140536804002,0.4357892423084591,0.0008352875977796463,7.549945916757716e-06,0.7049637552720611,-0.11731059494973783,0.551610600722986
E00735,43.62541928632875,0.32351210493558796,0.04858968769797057,1.1398612476369328,0.003948784999778785,0.00033408685364296587,1.5215554175914292,-0.040529729663468045,0.49784715986277084
E00736,147.8622914203183,0.5878607756731024,0.541218445398116,4.227086404391394,0.00835363924938269,0.0009199819440543912,5.0177023468954305,0.029452125735929584,0.5385788101666511
E00737,111.30658070003598,0.15777693364263634,0.1153810258354673,1.5729841476163469,0.009592632405585213,0.0006873477546799085,2.141999558201386,0.010858984242135985,0.5582276395980893
E00738,98.10945361833919,0.0,0.07292974747332535,0.8029365222563627,0.003072005940709746,6.655414283530175e-05,0.6654708281413088,-0.07918567566737537,0.5463099797931055
E00739,62.052542111413565,0.19069074415073348,0.037631363510330654,1.2255170040720549,9.714017101066001e-05,0.0002901415439950205,1.3398639139018291,0.04781551329444239,0.5266547348908562
E00740,121.02999896857239,0.37994109148349814,0.10535150007233071,3.0441734995376617,0.004032074394587416,0.0011217985214221223,3.703090512878253,0.016344226215750345,0.5197661011365509
E00741,58.547605265922705,0.1731606843863801,0.0723574732328996,0.628523865545256,0.0027051036718326532,0.00016716016215026264,0.8259798770819765,-0.0457322686751718,0.5045035858740355
E00742,6.878634883127279,0.4836801157123647,0.09683820541432939,2.7828103142932576,0.0003988240482207366,3.93873213462332e-06,5.31878157137109,-0.10816520131127755,0.5448712767247302
E00743,158.56183487298102,0.3707223090206858,0.09400858509005312,2.675148688838504,0.000395594474058641,3.8986241511403604e-06,5.250598234958144,-0.06602377886840181,0.5283858444860674
E00744,65.53854450269604,0.5649838881270275,0.12744265872898486,3.2676108233704797,0.0004354405888723689,1.0934387450331168e-05,5.915958653094264,0.10187461041323456,0.4827717884577071
E00745,17.188297226695568,0.4927867623236458,0.091695338982924,2.6022029551741035,0.00039068298757256946,4.1266895133999175e-06,5.182673683435009,-0.06649919487811695,0.5406225175128188
E00746,34.474106585487576,0.4629990920029033,0.10097624468305254,2.9382985433426754,0.0003990820886210695,6.173609305891606e-06,5.813408175323177,-0.0188826909840979,0.5221399383996171
E00747,37.49204787430239,0.3913218014001577,0.12482529202890272,4.09730095559242,0.0009648323174068394,1.0043588993850967e-05,6.80678902985981,-0.07497190778771338,0.5403355174668987
E00748,41.57930482557319,0.22617426688651343,0.10448912065584665,2.7553183245663457,0.0005367912139806872,3.954978692247581e-06,5.31208759448936,-0.07262202689396266,0.5490166103006328
E00749,123.22193040927077,0.23510435397084017,0.13930720662433604,3.0578433123144166,0.0005061900547245171,8.326448371046628e-06,5.677116302413616,-0.08304103164253222,0.5327518021625952
E00750,18.832198901332866,0.29990973459516124,0.10126326722382709,3.395911227629911,0.00083503692182226,1.0229441642163456e-05,5.91227456984723,-0.13877602530849403,0.5905556055021128
E00751,101.18420060574127,0.15743048453243613,0.09243985501698285,3.124949241161376,0.0005979126047294029,8.43817614128918e-06,5.577945435739613,-0.07325547365722936,0.5423951648552658
E00752,83.89160920376041,0.11503680554574494,0.09848863444057514,3.8347895774079035,0.0005434173378849135,1.878353212546856e-05,6.697839684943933,-0.08611399162745086,0.5612009058757834
E00753,138.83535612075812,0.21132878408942696,0.11881491193044293,2.981304493955837,0.0005606380588483877,7.819659041954985e-06,5.508805338426899,-0.11404103954117989,0.5607059432172701
E00754,97.3887681202423,0.0,0.13027926686574054,3.2612227807814884,0.001342221082162848,2.014715802878612e-05,5.977046438784467,-0.17746061234329547,0.5746492429570947
E00755,81.9064498287235,0.19698169745717367,0.1230605555542296,3.078767174438442,0.0009888761262874302,1.0068395007778098e-05,5.680532352935785,0.024163859239432373,0.5699737557409317
E00756,5.47140079619474,0.6672289775254128,0.13116756530414028,2.9929780933324928,0.0013497539877397988,2.1887136944897295e-05,5.601253069099064,0.0008778121635254071,0.5531990319714128
E00757,29.02739336598659,0.4483013526107455,0.09308736932547194,2.735340002219341,0.001000032292317898,6.091006519214979e-06,5.268357664934108,-0.05320744068850221,0.5209539657195622
E00758,145.65979047014733,0.24232840799961122,0.09715519992992516,2.8210437044756325,0.00045648924331007085,6.174467995068124e-06,5.671417907737212,-0.11180978780444732,0.5475624082232011
E00759,31.46462263025922,0.8720265374566813,0.10398572684413335,3.2714904993482827,0.0011912918736007286,8.669424227835933e-06,6.780122084959254,0.22108548015996746,0.5041397891755821
