trial,q_minus,flip_probability,input_sign_bias,output_sign_bias,contraction_factor,l1_coherence,measurement_bias,aligned_reference_bias
54,0.38353007683670615,0.20910570476978435,0.2329398463265877,0.13552174485641494,0.5817885904604313,0.4280600728215661,0.3163389425572383,0.4280600728215661
55,0.47272886954301935,0.35802726194049445,0.054542260913961305,0.015487028243822072,0.2839454761190111,0.024289199685177728,0.016116345745641372,0.024289199685177728
56,0.28861300071203944,0.14642472581088622,0.42277399857592113,0.2989648649330186,0.7071505483782276,0.5512921915802121,0.29297870181541924,0.5512921915802121
57,0.4659849614858938,0.07216900728811898,0.0680300770282124,0.058210750778491686,0.855661985423762,0.02427463009791142,0.016884850651717038,0.02427463009791142
58,0.3444320619466223,0.46614206496151867,0.3111358761067554,0.021068836562727004,0.06771587007696267,0.014558003365745198,0.00022274931289899226,0.014558003365745198
59,0.2941027113406994,0.4027905968992439,0.41179457731860125,0.08006061012253876,0.1944188062015122,0.3070268433404907,0.181393134405326,0.3070268433404907
60,0.3932078451161167,0.05883273605606254,0.21358430976776654,0.18845281112319992,0.8823345278878749,0.8810972255253531,0.591588197447812,0.8810972255253531
61,0.15329171299060532,0.17422957240159337,0.6934165740187894,0.45178922764384644,0.6515408551968133,0.7711506409856309,0.4763855146223047,0.7711506409856309
62,0.13448262874024627,0.07079655242279531,0.7310347425195074,0.6275252635761734,0.8584068951544094,0.08088834074030449,0.07753009066121963,0.08088834074030449
63,0.08474956908165601,0.15112761522826285,0.830500861836688,0.5794776324478967,0.6977447695434743,0.3058123260191712,0.2642820212041017,0.3058123260191712
64,0.034687328430151466,0.4797142209118519,0.930625343139697,0.037756920249527835,0.04057155817629621,0.6915127203247363,0.07541102749620289,0.6915127203247364
65,0.281668096293111,0.23906619860706774,0.43666380741377797,0.22788069439837672,0.5218676027858645,0.9802154129652717,0.8619494824717739,0.9802154129652716
66,0.18168138812097126,0.056949099208717435,0.6366372237580575,0.5641253909265375,0.8861018015825651,0.8870907392807076,0.5282179633623415,0.8870907392807077
67,0.14078900298481825,0.12937795473432878,0.7184219940303636,0.5325260575827504,0.7412440905313424,0.23381907661481893,0.1701945054789231,0.23381907661481893
68,0.24106302941355914,0.4906211674430109,0.5178739411728817,0.009714105959776988,0.01875766511397825,0.9474438656857238,0.4754088938553013,0.9474438656857238
69,0.3782314332745825,0.17726998110985376,0.24353713345083505,0.15719348735808011,0.6454600377802925,0.9854472586815407,0.9638502062150465,0.9854472586815407
70,0.25322703131055085,0.25692704427686036,0.4935459373788983,0.2399353395676728,0.4861459114462793,0.27487439140836745,0.06415507412461234,0.27487439140836745
71,0.4360616824195495,0.1271458977500049,0.12787663516090098,0.09535865600333578,0.7457082044999902,0.5850409119534089,0.14153618677057322,0.5850409119534089
72,0.22418483899013095,0.2980219724432616,0.551630322019738,0.22283440876407024,0.40395605511347676,0.9066690641585708,0.9056656707439872,0.9066690641585708
73,0.03742439852725138,0.2584693257211012,0.9251512029454972,0.4469047877147206,0.4830613485577976,0.01924460326830124,0.016779109968535433,0.019244603268301245
74,0.23233991455699438,0.2575133685119323,0.5353201708860112,0.2596159700115313,0.4849732629761354,0.8755651723140444,0.8639775767533426,0.8755651723140445
75,0.0711920447323117,0.08528567411625249,0.8576159105353767,0.7113312084097101,0.829428651767495,0.05501298377300179,0.04409183974523988,0.05501298377300179
76,0.429444136320768,0.19507320113254573,0.141111727358464,0.08605749461214679,0.6098535977349085,0.7275094442879076,0.30183263668433424,0.7275094442879078
77,0.31465619259923316,0.27124499131369634,0.37068761480153367,0.16959329708766005,0.4575100173726073,0.06881952400330194,0.06802943342719375,0.06881952400330194
78,0.26651824714323635,0.16431282628411603,0.4669635057135273,0.31350731892287004,0.6713743474317679,0.25091476954875636,0.22950472386598808,0.25091476954875636
79,0.0990832426987244,0.1750443258914945,0.8018335146025513,0.5211207005209285,0.649911348217011,0.01890531141812979,0.014687958505337226,0.01890531141812979
80,0.2563847139581278,0.007302887814122805,0.48723057208374443,0.48011419166866753,0.9853942243717544,0.5645833387169295,0.49879564123523734,0.5645833387169295
81,0.40629308299562295,0.06361961359842033,0.1874138340087541,0.16356744260348327,0.8727607728031593,0.4551081744309995,0.09255287717097893,0.45510817443099955
82,0.0762519618148315,0.482807247356834,0.847496076370337,0.029141580814177847,0.034385505286332,0.36787400529731396,0.3238705531409774,0.36787400529731396
83,0.3194139701680503,0.480627344628842,0.3611720596638994,0.013993723683120084,0.03874531074231602,0.07888470700960715,0.023580696486658184,0.07888470700960715
