replication,local_seed,ensemble,control_index,delay5_r2,nonlinear_prediction_r2,narma10_r2,parity3_accuracy
1,1606918282,symmetric_radius_matched,6,0.3642054780827637,0.9480606937362935,0.5521136172623993,0.9152542372881356
1,1606918282,symmetric_radius_matched,7,0.4579279463208341,0.9648720286942456,0.5242943908250176,0.735593220338983
1,1606918282,symmetric_radius_matched,8,0.5282967344023421,0.949973618807967,0.5662351695695955,0.9491525423728814
1,1606918282,symmetric_radius_matched,9,0.3393041779335618,0.9765341011749257,0.4797212682139784,0.8305084745762712
1,1606918282,symmetric_radius_matched,10,0.4008457529032803,0.9640721849947362,0.5666281498575274,0.8466101694915255
1,1606918282,symmetric_radius_matched,11,0.45014936631717495,0.9476092070553122,0.5059876842035507,0.8762711864406779
1,1606918282,FIN,-1,0.2654305774625473,0.7036953891256257,0.5807674313522955,0.7610169491525424
2,2703288839,isospectral_orientation,0,0.2108144026286256,0.6832742890112166,0.6240255083692523,0.9898305084745763
2,2703288839,isospectral_orientation,1,0.22111446781844768,0.5574905420490007,0.6355858972704003,0.864406779661017
2,2703288839,isospectral_orientation,2,0.21062301028302255,0.6415439791996516,0.6277353016663787,0.9788135593220338
2,2703288839,isospectral_orientation,3,0.21431556086106174,0.6546810219921992,0.6260253989435609,0.9813559322033898
2,2703288839,isospectral_orientation,4,0.21449282516992174,0.6925350590955439,0.6093656007828614,0.9864406779661017
2,2703288839,isospectral_orientation,5,0.20946936101224722,0.6754377485007916,0.6084132326153775,0.9245762711864407
2,2703288839,symmetric_radius_matched,6,0.3941582960294012,0.9551940451939105,0.6313943230313906,0.9059322033898305
2,2703288839,symmetric_radius_matched,7,0.41723002640951345,0.9518812011759221,0.6064006875972046,0.9296610169491526
2,2703288839,symmetric_radius_matched,8,0.4485240384767468,0.9476940861828496,0.6157718623877311,0.7906779661016949
2,2703288839,symmetric_radius_matched,9,0.16888445710142508,0.9785177941436102,0.5939059161173482,0.8025423728813559
2,2703288839,symmetric_radius_matched,10,0.59829547976635,0.9727727507894586,0.6037859436875357,0.8661016949152542
2,2703288839,symmetric_radius_matched,11,0.21986561813827277,0.9541070307298696,0.6048782725417806,0.8737288135593221
2,2703288839,FIN,-1,0.2142777878741854,0.6875683202100376,0.6472517995284887,0.773728813559322
3,2691734743,isospectral_orientation,0,0.2095973958043129,0.7080631057529394,0.6032061275808969,0.9813559322033898
3,2691734743,isospectral_orientation,1,0.2098514204189521,0.6716973138365074,0.6036400089989202,0.9669491525423729
3,2691734743,isospectral_orientation,2,0.20599098902329105,0.7007005648618405,0.613171186971345,0.9737288135593221
3,2691734743,isospectral_orientation,3,0.21108845981314572,0.6407798711206389,0.6146305391315485,0.9906779661016949
3,2691734743,isospectral_orientation,4,0.21079214937196467,0.6766690202172023,0.6145468260787008,0.9610169491525423
3,2691734743,isospectral_orientation,5,0.2078770236594788,0.6987343264829392,0.6207447567848512,0.9796610169491525
3,2691734743,symmetric_radius_matched,6,0.55475054787457,0.9537923086918775,0.5956641817435575,0.9711864406779661
3,2691734743,symmetric_radius_matched,7,0.41999168315965507,0.965418975564607,0.6234784107770353,0.9711864406779661
3,2691734743,symmetric_radius_matched,8,0.20548718534996613,0.9510795102535203,0.5839177624206049,0.9322033898305084
3,2691734743,symmetric_radius_matched,9,0.28557460804227497,0.9552773363548113,0.5712071896212699,0.8584745762711864
3,2691734743,symmetric_radius_matched,10,0.38194860098496153,0.942273890459081,0.5757622232958536,0.8508474576271187
3,2691734743,symmetric_radius_matched,11,0.4478630272207571,0.9513717097877503,0.5162942969192601,0.735593220338983
3,2691734743,FIN,-1,0.21444536414327908,0.7022168293705694,0.6287475741229783,0.7711864406779662
4,4028158457,isospectral_orientation,0,0.23288106284753618,0.7285228076979793,0.5805385519257149,0.9906779661016949
4,4028158457,isospectral_orientation,1,0.2281299020469345,0.6981029129329994,0.5933217497588867,0.997457627118644
4,4028158457,isospectral_orientation,2,0.2335155319036326,0.7131170194029648,0.5839111971093354,0.9737288135593221
4,4028158457,isospectral_orientation,3,0.22707370027309592,0.6856737785387943,0.5856465532092983,0.9254237288135593
4,4028158457,isospectral_orientation,4,0.23495871488242448,0.6926620133715883,0.5968491313510434,0.9788135593220338
4,4028158457,isospectral_orientation,5,0.2282441732301964,0.7088527198601187,0.5808485955575734,0.9745762711864406
4,4028158457,symmetric_radius_matched,6,0.5368534017380624,0.9558395844146194,0.5623152745796223,0.6898305084745763
4,4028158457,symmetric_radius_matched,7,0.8221945620103077,0.967071644572935,0.5615414297390464,0.8822033898305085
4,4028158457,symmetric_radius_matched,8,0.3419852433401459,0.954415712070969,0.515928286693641,0.735593220338983
4,4028158457,symmetric_radius_matched,9,0.7364102560430282,0.9560727553389228,0.5719569150946344,1.0
4,4028158457,symmetric_radius_matched,10,0.36316143850309646,0.9591886027759242,0.5861921595736503,0.8940677966101694
4,4028158457,symmetric_radius_matched,11,0.42275141044817044,0.9575899069630066,0.5707626577233813,0.9686440677966102
4,4028158457,FIN,-1,0.23121958637333961,0.7076209135743701,0.602889916460368,0.7584745762711864
5,83353961,isospectral_orientation,0,0.2348804629683312,0.6601638672645351,0.626437590167479,0.9288135593220339
5,83353961,isospectral_orientation,1,0.23511324020347568,0.6984603954708356,0.6173362095069088,0.926271186440678
5,83353961,isospectral_orientation,2,0.23825095524896378,0.6530438230579789,0.6139079909015033,0.926271186440678
5,83353961,isospectral_orientation,3,0.23610968001894994,0.6816723909996276,0.6293954974572095,0.9305084745762712
5,83353961,isospectral_orientation,4,0.23423681499283266,0.6847562508344891,0.6209615752871844,0.9872881355932204
5,83353961,isospectral_orientation,5,0.23149805626511444,0.6389898850239315,0.5972698131657378,0.9483050847457627
5,83353961,symmetric_radius_matched,6,0.37139103377586924,0.9615048935179185,0.6217876881607278,0.9940677966101695
5,83353961,symmetric_radius_matched,7,0.5255795973957871,0.9697354156293999,0.5749585855590877,0.997457627118644
5,83353961,symmetric_radius_matched,8,0.29987404065957557,0.9566964244736141,0.5987870985505384,0.7813559322033898
5,83353961,symmetric_radius_matched,9,0.7250995920609663,0.9624200091947803,0.5948488285036533,0.9906779661016949
5,83353961,symmetric_radius_matched,10,0.48626118406959395,0.9668581781952205,0.6273540470054288,0.6033898305084746
5,83353961,symmetric_radius_matched,11,0.30966697265489207,0.9615480432663894,0.6259141396886444,0.8711864406779661
5,83353961,FIN,-1,0.23994579116621673,0.698587388927532,0.6290719866391978,0.7686440677966102
6,128142432,isospectral_orientation,0,0.2283470968375202,0.7133783276665966,0.6018150546346768,0.9745762711864406
6,128142432,isospectral_orientation,1,0.22050600239937734,0.6463274545192927,0.6082405194220987,0.888135593220339
6,128142432,isospectral_orientation,2,0.22572546757966938,0.6834908615502477,0.6136980347027625,0.9525423728813559
6,128142432,isospectral_orientation,3,0.22891855295852048,0.6262565068137405,0.5753967807929276,0.9525423728813559
6,128142432,isospectral_orientation,4,0.2217702799959369,0.6868921338996059,0.5920413492896024,0.9966101694915255
6,128142432,isospectral_orientation,5,0.23509928349674514,0.7114456743205938,0.6155094465326848,0.9957627118644068
6,128142432,symmetric_radius_matched,6,0.4815206136233393,0.9600777688845066,0.5959656519809758,0.9211864406779661
