row_type,trial,negative_mass_before,negative_mass_after,contraction_ratio,monotone_holds,resource,free_operation,monotone,result
signed_measure_markov_pushforward,22,5.928868050787853,0.6968234901133726,0.11753061193877908,True,,,,
signed_measure_markov_pushforward,23,5.993523341716135,1.0926783456784686,0.18230985071388747,True,,,,
signed_measure_markov_pushforward,24,6.706560255431011,0.643383137536673,0.09593340148038745,True,,,,
signed_measure_markov_pushforward,25,6.352728582669821,1.036622977303885,0.1631775958651503,True,,,,
signed_measure_markov_pushforward,26,5.353653039776402,0.8435376387882452,0.1575630009118925,True,,,,
signed_measure_markov_pushforward,27,5.8766919038453675,0.5735238491611043,0.09759297552860027,True,,,,
signed_measure_markov_pushforward,28,4.260969630768609,0.4496561254816773,0.10552906132789469,True,,,,
signed_measure_markov_pushforward,29,5.590470699091865,0.5714070580027952,0.10221090293803284,True,,,,
signed_measure_markov_pushforward,30,5.474633122490131,1.6214308161649122,0.29617159358203826,True,,,,
signed_measure_markov_pushforward,31,6.561063299805687,0.9926529759612905,0.15129452812788577,True,,,,
signed_measure_markov_pushforward,32,4.712610436599458,0.9466310387265309,0.20087190559498153,True,,,,
signed_measure_markov_pushforward,33,7.159945861097798,0.7974274283288059,0.11137338798348685,True,,,,
signed_measure_markov_pushforward,34,5.485343414482389,1.227864356486876,0.22384457338533661,True,,,,
signed_measure_markov_pushforward,35,7.064836162018743,1.75259912521929,0.24807356958133525,True,,,,
signed_measure_markov_pushforward,36,5.228962762875733,0.9034708138930182,0.1727820324725631,True,,,,
signed_measure_markov_pushforward,37,6.712096472028612,0.8980418663360215,0.13379454095727625,True,,,,
signed_measure_markov_pushforward,38,8.098533201905145,0.9490808360273975,0.11719169538060674,True,,,,
signed_measure_markov_pushforward,39,4.819521330586557,0.6938777576159272,0.14397233874914278,True,,,,
signed_measure_markov_pushforward,40,4.563323408126571,0.958723938456738,0.21009335800074994,True,,,,
signed_measure_markov_pushforward,41,4.29794620868558,0.5153954014596288,0.11991667099464459,True,,,,
signed_measure_markov_pushforward,42,6.718466293505795,0.9038745935381748,0.1345358529835713,True,,,,
signed_measure_markov_pushforward,43,6.859908458824382,0.6824618094562284,0.09948555633834003,True,,,,
signed_measure_markov_pushforward,44,7.103419494871279,1.5433860876870893,0.21727367907828413,True,,,,
signed_measure_markov_pushforward,45,5.225723517952682,1.1460671637476132,0.21931262911448784,True,,,,
signed_measure_markov_pushforward,46,5.101010534654286,2.0736389228382004,0.4065153186316128,True,,,,
signed_measure_markov_pushforward,47,4.787220268940718,0.8024269632919896,0.16761855904105805,True,,,,
signed_measure_markov_pushforward,48,6.577762397298985,0.9828847993515027,0.14942540334918497,True,,,,
signed_measure_markov_pushforward,49,5.690963778178819,0.7012797053712834,0.12322687908509265,True,,,,
signed_measure_markov_pushforward,50,5.105792743013277,0.6986743274505813,0.13683953944402488,True,,,,
signed_measure_markov_pushforward,51,3.228569263561997,0.2080317580441854,0.06443465853189388,True,,,,
signed_measure_markov_pushforward,52,6.997334716888833,0.6785035276412439,0.09696599563882537,True,,,,
signed_measure_markov_pushforward,53,4.321920584787618,0.6960202107295475,0.1610441925239009,True,,,,
signed_measure_markov_pushforward,54,5.499474035303471,1.2932170363337463,0.23515285789732515,True,,,,
signed_measure_markov_pushforward,55,6.18216879138921,1.0488879581072603,0.16966342937258466,True,,,,
signed_measure_markov_pushforward,56,8.473768736133563,1.3069609790015444,0.15423609254621795,True,,,,
signed_measure_markov_pushforward,57,7.397920170235426,2.8691867408304708,0.38783694265508195,True,,,,
signed_measure_markov_pushforward,58,4.595150095868744,0.9581900818409976,0.20852204212055128,True,,,,
signed_measure_markov_pushforward,59,5.300207654048379,0.4819803019347601,0.09093611673244843,True,,,,
signed_measure_markov_pushforward,60,4.892197050407288,0.8158376777893968,0.16676304518876162,True,,,,
signed_measure_markov_pushforward,61,4.591384396436235,0.3069205009581177,0.0668470497038638,True,,,,
signed_measure_markov_pushforward,62,4.6469260864933,0.7514404761927251,0.16170699989759962,True,,,,
signed_measure_markov_pushforward,63,5.512902300068953,1.147044846998018,0.2080655133292805,True,,,,
typed_resource_law,,,,,,signed_path_weight,positive mass-preserving Markov pushforward,Jordan negative mass,nonincreasing by total-variation contraction
typed_resource_law,,,,,,nontorsion_phase,group homomorphism generated from torsion input,torsion-vs-infinite-order flag,a torsion input cannot generate an infinite-order image
typed_resource_law,,,,,,pointing/orientation,equivariant map without a supplied section,existence of an equivariant point,no point is created from a free transitive torsor
typed_resource_law,,,,,,positive dimensional scale,R_+-equivariant scale-free map,existence of a fixed positive unit,no invariant positive point under the free scale action
typed_resource_law,,,,,,independent cross law,deterministic function of legacy input only,completion-fiber nonidentification witness,identical inputs cannot be mapped to two distinct targets
