dynamics,nominal_time,preparation_vertex,robust_tv_5pct,median_tv,minimum_tv,maximum_tv,optimized_legacy_scale
heat,2.010056251052876,6,0.10608292756191579,0.10821688955264787,0.105597193377615,0.1136550646932352,0.09405502520820334
heat,2.010056251052876,7,0.1060331407618032,0.10771997275577436,0.10585092098759508,0.11179942218822547,0.09405502520820334
heat,2.010056251052876,8,0.10638870647344685,0.10809817286465231,0.10600832816651039,0.11145931134308809,0.09405502520820334
heat,2.010056251052876,9,0.10619244418688029,0.1080072951463796,0.10569877383536516,0.1110440521430297,0.09405502520820334
heat,2.010056251052876,10,0.10609498393681666,0.10826432737149014,0.10540070108218413,0.11128384241293546,0.09405502520820334
heat,2.010056251052876,11,0.10590104133441215,0.10812977602634502,0.10565973442630061,0.1125205345788127,0.09405502520820334
heat,2.4556401921207085,0,0.07835736703963955,0.07938844818163082,0.07768241488509064,0.0829789723544162,0.09405502520820334
heat,2.4556401921207085,1,0.07804619923055905,0.07944859821962882,0.07801579756777716,0.08290392174773138,0.09405502520820334
heat,2.4556401921207085,2,0.07817389981148967,0.0794593942445265,0.07792876154201436,0.08275731151506076,0.09405502520820334
heat,2.4556401921207085,3,0.078143295149067,0.0795092274673139,0.07777626461450446,0.08177357951255952,0.09405502520820334
heat,2.4556401921207085,4,0.07787210169881482,0.07961460446247462,0.07745708079579014,0.08214726912820813,0.09405502520820334
heat,2.4556401921207085,5,0.07798511368265501,0.07958170373818949,0.07788705000427674,0.08310971661946928,0.09405502520820334
heat,2.4556401921207085,6,0.07796211396249683,0.07955517038963009,0.0777203795575964,0.08377969603844258,0.09405502520820334
heat,2.4556401921207085,7,0.0780568552302956,0.07931230053014496,0.07783398380564283,0.0824828008501474,0.09405502520820334
heat,2.4556401921207085,8,0.07807889013987757,0.079508117164503,0.0778257367500631,0.08227164568318857,0.09405502520820334
heat,2.4556401921207085,9,0.07800677364067128,0.07951625655500286,0.07788706601980339,0.08183891109886846,0.09405502520820334
heat,2.4556401921207085,10,0.07803419857934932,0.07966697812196187,0.07757464590393973,0.08208984262292171,0.09405502520820334
heat,2.4556401921207085,11,0.07793125604218692,0.07954675992370538,0.07764764902060578,0.083016747915065,0.09405502520820334
heat,3.0,0,0.05264443680698639,0.05346475616223083,0.05229377726574365,0.05615834060415849,0.09405502520820334
heat,3.0,1,0.05255378081570689,0.053538314482164506,0.05243319543416834,0.055886450325368445,0.09405502520820334
heat,3.0,2,0.05249047454718326,0.05350724432462935,0.05232979444687432,0.05581569137064807,0.09405502520820334
heat,3.0,3,0.05256809922304498,0.05359338874901931,0.05226306639633205,0.055211403746842844,0.09405502520820334
heat,3.0,4,0.05247368592471012,0.05361251390385965,0.05205103994431142,0.055531652680869195,0.09405502520820334
heat,3.0,5,0.052530808095632264,0.05357146180075171,0.05233535173255083,0.056107784839111996,0.09405502520820334
heat,3.0,6,0.05245286046115119,0.053626276516769725,0.05235630842083261,0.05653862669707044,0.09405502520820334
heat,3.0,7,0.052553245534623864,0.05346710796401632,0.05237066874623878,0.05571181197487696,0.09405502520820334
heat,3.0,8,0.05246379352737647,0.05358725099325881,0.05227271923932175,0.05558369421665813,0.09405502520820334
heat,3.0,9,0.052468577667406535,0.053613098102078344,0.052308812602566056,0.05520876181933124,0.09405502520820334
heat,3.0,10,0.05248909571494234,0.053679705841662026,0.052153170523451316,0.05543264958051893,0.09405502520820334
heat,3.0,11,0.05248852306265124,0.05364710133284454,0.05218173564362593,0.056067905151383726,0.09405502520820334
wave,0.03,0,0.0003116200502994799,0.0003203208611559005,0.0003088918615223765,0.00033677106013660455,0.13044237640961015
wave,0.03,1,0.0003109191051592816,0.00032097815642469793,0.0003094537701486466,0.00033576924751437914,0.13044237640961015
wave,0.03,2,0.00031238523074062576,0.00032084590055056635,0.00031075772792472423,0.00033327843665888527,0.13044237640961015
wave,0.03,3,0.00031273649020259795,0.0003197198316721826,0.00031099412086407324,0.0003341944462871593,0.13044237640961015
wave,0.03,4,0.0003100738416275431,0.00032047988287167765,0.0003066417174136646,0.000331339808695506,0.13044237640961015
wave,0.03,5,0.0003124087233123124,0.00032045402594496413,0.00031062376272498484,0.00033452738338436206,0.13044237640961015
wave,0.03,6,0.0003129045231643382,0.0003201618303725432,0.0003106373579103617,0.0003393728455915716,0.13044237640961015
wave,0.03,7,0.0003115472935953055,0.0003210397087496673,0.0003098819594711429,0.0003326773183125015,0.13044237640961015
wave,0.03,8,0.000311249650313941,0.0003205228772512399,0.0003095254568036563,0.00033590284181235963,0.13044237640961015
wave,0.03,9,0.00031120711720428006,0.0003191788626475,0.00030947390631194834,0.00033233784352576116,0.13044237640961015
wave,0.03,10,0.00031394527558180693,0.00032099679377699773,0.0003087954673227832,0.00033624726061255716,0.13044237640961015
wave,0.03,11,0.0003103849582863499,0.0003203711613232779,0.00030795426341547085,0.0003360573395581202,0.13044237640961015
wave,0.03665032046990375,0,0.00046501739220943797,0.00047799980866869586,0.0004609464501227953,0.0005025466716851364,0.13044237640961015
wave,0.03665032046990375,1,0.0004639712484956847,0.000478981247116113,0.00046178535808529854,0.0005010525645774344,0.13044237640961015
wave,0.03665032046990375,2,0.00046615831449862673,0.00047878239613032735,0.00046373017223676194,0.0004973335810889248,0.13044237640961015
wave,0.03665032046990375,3,0.0004666832711206709,0.0004771020890008635,0.00046408410218128364,0.0004987017777214127,0.13044237640961015
wave,0.03665032046990375,4,0.00046271015601128806,0.0004782376850913106,0.0004575895984303241,0.0004944420402901196,0.13044237640961015
wave,0.03665032046990375,5,0.000466193892633321,0.0004781990578569263,0.0004635295871834092,0.0004991979795234749,0.13044237640961015
wave,0.03665032046990375,6,0.00046693275311124023,0.0004777630110907271,0.0004635501516478964,0.0005064278556870818,0.13044237640961015
wave,0.03665032046990375,7,0.0004649085507418911,0.00047907286502408414,0.00046242361370828504,0.0004964365000238762,0.13044237640961015
wave,0.03665032046990375,8,0.00046446577711582563,0.00047830309306011893,0.00046189132760370347,0.0005012514926367021,0.13044237640961015
wave,0.03665032046990375,9,0.0004644010706791685,0.00047629632315898484,0.00046181375971752716,0.0004959305912805458,0.13044237640961015
wave,0.03665032046990375,10,0.00046848780836484193,0.00047900860335161265,0.00046080239119990717,0.0005017638609000402,0.13044237640961015
