row_type,radius,included,minimum_inclusion_margin,maximum_image_width,maximum_point_residual_radius,maximum_absolute_CJ_entry,index,variable,box_lower,box_upper,krawczyk_lower,krawczyk_upper,strict_left_margin,strict_right_margin
selected_interval_coordinate,,,,,,,2,u,94937095966563/10000000000000000,94937095967163/10000000000000000,9271200778018501158097912934453001010641219117006710973777166168336552013244501325040522603/976562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000,927120077801850115811286706111087762721741189794181097943085863568608966431995793723787599/97656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,33833189347912934453001010641219117006710973777166168336552013244501325040522603/976562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2476056063713293888912237278258810205818902056914136431391033568004206276212401/97656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000
selected_interval_coordinate,,,,,,,3,L,5233281002710117/10000000000000000,5233281002710717/10000000000000000,255531298960469389605385169111698629563244117285809404097501994053224449574776855814931955281/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,255531298960469389605389589344549541880489143759889916120100233638115004255420822680038517971/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,14457964760169111698629563244117285809404097501994053224449574776855814931955281/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,14838910235410655450458119510856240110083879899766361884995744579177319961482029/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000
selected_interval_coordinate,,,,,,,4,a,143072173339703/400000000000000,143072173339727/400000000000000,349297298192663033262030308097889039183195084817559066676942639995110936393744928288622152317/976562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000,174648649096331516631020039132574719458125966775451374832525527705312317532009391061102878131/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,28755918280308097889039183195084817559066676942639995110936393744928288622152317/976562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000,14918915854960867425280541874033224548625167474472294687682467990608938897121869/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000
selected_interval_coordinate,,,,,,,5,b,413115271749867/1000000000000000,413115271749927/1000000000000000,40343288256825728091213858710147757935585666322807727407412063505093037102726385431786556593/97656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,201716441284128640456076094376881853806328641377099080419249172712657765412411180286493634201/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2778872463858710147757935585666322807727407412063505093037102726385431786556593/97656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,15402512673905623118146193671358622900919580750827287342234587588819713506365799/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000
selected_interval_coordinate,,,,,,,6,c,579698465320573/5000000000000000,579698465320873/5000000000000000,14152794563494217760079685022273540302570455149938175735496208640663135066680860893062328603/122070312500000000000000000000000000000000000000000000000000000000000000000000000000000000000,5661117825397687104032427946713585207558532018377603501811770389654075031545762250364188737/48828125000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3666002267185022273540302570455149938175735496208640663135066680860893062328603/122070312500000000000000000000000000000000000000000000000000000000000000000000000000000000000,1463286592572053286414792441467981622396498188229610345924968454237749635811263/48828125000000000000000000000000000000000000000000000000000000000000000000000000000000000000
selected_interval_coordinate,,,,,,,7,d,3631242690235051/10000000000000000,3631242690235651/10000000000000000,354613543968296121608204277828894421734938663379121660216972223666050866991807305352012343979/976562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000,88653385992074030402053825542221496336561918685656357881306611522101343464696757952597617923/244140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,29422389454277828894421734938663379121660216972223666050866991807305352012343979/976562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7292840133674457778503663438081314343642118693388477898656535303242047402382077/244140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000
selected_interval_coordinate,,,,,,,8,e,1164168717524917/10000000000000000,1164168717525517/10000000000000000,177638048938786564270304293703177482160246403826278188436838571811805955796033862571355813/1525878906250000000000000000000000000000000000000000000000000000000000000000000000000000000,5684417566041170056650252983726674008981295440886016617752460184497191605438574781102426457/48828125000000000000000000000000000000000000000000000000000000000000000000000000000000000000,48008362101168703177482160246403826278188436838571811805955796033862571355813/1525878906250000000000000000000000000000000000000000000000000000000000000000000000000000000,1393419912247016273325991018704559113983382247539815502808394561425218897573543/48828125000000000000000000000000000000000000000000000000000000000000000000000000000000000000
selected_interval_coordinate,,,,,,,9,f,-539558339225121/2500000000000000,-539558339224971/2500000000000000,-105382488129893851452653420731018659804458835274097875751817896399521667090250689222965805829/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,-210764976259787702905289506162211142123151767344538218910781520024519287446014206292450713369/976562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000,12593859846579268981340195541164725902124248182103600478332909749310777034194171/488281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,33406030289506162211142123151767344538218910781520024519287446014206292450713369/976562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000
selected_interval_coordinate,,,,,,,10,g,2058019080174149/5000000000000000,2058019080174449/5000000000000000,100489212899135792134071184027104768911621933180908658803458335540901405604385574655137665893/244140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40195685159654316853630068148262288799646410944010157324148224999256611794195304104532096839/97656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7422993446184027104768911621933180908658803458335540901405604385574655137665893/244140625000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2890177619931851737711200353589055989842675851775000743388205804695895467903161/97656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000
selected_interval_coordinate,,,,,,,11,h,1730295472136397/5000000000000000,1730295472136697/5000000000000000,337948334401664521288162693251995409624727020861145861048062752627161379555153992411416292129/976562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000,844870836004161303220459374045894851904236363267692087009515815920315611764397762487313073/2441406250000000000000000000000000000000000000000000000000000000000000000000000000000000000,24482225662693251995409624727020861145861048062752627161379555153992411416292129/976562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000,85278810790625954105148095763636732307912990484184079684388235602237512686927/2441406250000000000000000000000000000000000000000000000000000000000000000000000000000000000
