row_type,cos_theta_lower,cos_theta_upper,four_q2_cos2_minus_one_lower,four_q2_cos2_minus_one_upper,full_simplex_lower,full_simplex_upper,seed,p,symmetrized_p,d1_gain,d2_gain,d3_gain,objective_gain
symmetrization_falsification_sample,,,,,,,21,"[0.22159303667942998, 0.5207687754923006, 0.05981769215459986, 0.19782049567366963]","[0.20970676617654982, 0.29029323382345024, 0.29029323382345024, 0.20970676617654982]",0.06627055278177382,0.05928861329953816,0.042729606002965326,0.05100635884759114
symmetrization_falsification_sample,,,,,,,22,"[0.157261083136903, 0.14063426092298828, 0.6974819064177248, 0.0046227495223838694]","[0.08094191632964344, 0.4190580836703565, 0.4190580836703565, 0.08094191632964344]",0.10711547739296404,0.08725091247559297,0.0349954663217264,0.06170511497707615
symmetrization_falsification_sample,,,,,,,23,"[0.6472759775422037, 0.04644463203136878, 0.008547652738306264, 0.2977317376881213]","[0.47250385761516245, 0.027496142384837524, 0.027496142384837524, 0.47250385761516245]",0.004837680517214948,0.010913539531586303,0.035379828570923866,0.022769688738094818
symmetrization_falsification_sample,,,,,,,24,"[0.19001084845738594, 0.22439323872991104, 0.2902734523222819, 0.29532246049042093]","[0.24266665447390345, 0.2573333455260965, 0.2573333455260965, 0.24266665447390345]",0.0011101165233428634,0.0022941110668310283,0.0052846672744008005,0.0036932594803971708
symmetrization_falsification_sample,,,,,,,25,"[0.07381527397100489, 0.3895764388555274, 0.33406146990348357, 0.20254681726998425]","[0.13818104562049457, 0.3618189543795055, 0.3618189543795055, 0.13818104562049457]",0.00703737864124121,0.007232377226143116,0.003926610751725512,0.005463245909281544
symmetrization_falsification_sample,,,,,,,26,"[0.8630597833403505, 0.02266675315083422, 0.09013654056832786, 0.024136922940487446]","[0.44359835314041896, 0.05640164685958104, 0.05640164685958104, 0.44359835314041896]",0.05364462789472843,0.03330805952453994,0.19104234263578834,0.11575385856484094
symmetrization_falsification_sample,,,,,,,27,"[0.20800208796398661, 0.32536897539504345, 0.25563696964658766, 0.2109919669943822]","[0.20949702747918442, 0.2905029725208156, 0.2905029725208156, 0.20949702747918442]",0.0012872930361603752,0.0011219730735226863,0.0007546250829943979,0.0009407858341972108
symmetrization_falsification_sample,,,,,,,28,"[0.10070498708121901, 0.2654145377975237, 0.3439678251598686, 0.2899126499613886]","[0.1953088185213038, 0.30469118147869617, 0.30469118147869617, 0.1953088185213038]",0.004339548305383911,0.007854539577533182,0.01485778203461452,0.01103992423681227
symmetrization_falsification_sample,,,,,,,29,"[0.2626059540360204, 0.40060200014238495, 0.1223250611791074, 0.21446698464248728]","[0.23853646933925382, 0.2614635306607462, 0.2614635306607462, 0.23853646933925382]",0.02233896021158177,0.021670228071136333,0.01798762897015216,0.019675573792346135
symmetrization_falsification_sample,,,,,,,30,"[0.1405304101248058, 0.40264747431745823, 0.26298658561550053, 0.1938355299422355]","[0.16718297003352064, 0.3328170299664794, 0.3328170299664794, 0.16718297003352064]",0.006263103459719754,0.0048873803184754094,0.001987666935660437,0.0034956974454858347
symmetrization_falsification_sample,,,,,,,31,"[0.5791751053780134, 0.16175566964150107, 0.20701262118423053, 0.05205660379625503]","[0.3156158545871342, 0.1843841454128658, 0.1843841454128658, 0.3156158545871342]",0.027875675861695454,0.02843436690174128,0.06646592890496217,0.04762541737233211
