relative_noise,repetition,maximum_relative_pole_error,maximum_relative_weight_error
0.0001,7,0.15281328823646817,0.26027174259910757
0.0001,8,0.23370423683009964,0.3991141947985481
0.0001,9,0.15603856031811353,5.026670903841066
0.0001,10,0.10798814796729857,0.347406459626155
0.0001,11,0.05344916117961472,0.4466454984869914
0.0001,12,6.937441766472327,0.909811998372949
0.0001,13,0.3314193431737532,0.9031946293424543
0.0001,14,1.4485933069630135,1.0907378619313675
0.0001,15,0.804950185712979,0.8843689328098046
0.0001,16,15.206916432251761,0.9107740715107768
0.0001,17,0.12434809314186666,0.26055695546167357
0.0001,18,0.1200956605414202,0.40614365843066413
0.0001,19,0.3521554324455011,1.074805635941285
0.0001,20,0.12235766788301145,0.3955377981921155
0.0001,21,0.07155096857577435,0.11186177157011654
0.0001,22,0.09030215503570946,0.5768177767262491
0.0001,23,0.1346035399597942,0.5296175785914973
0.0001,24,0.15872709460456613,0.174624725915977
0.0001,25,0.15752346356849792,4.4132850229846285
0.0001,26,0.10893835564977013,0.1827243630973901
0.0001,27,1.0155755888847102,1.1612378871815021
0.0001,28,0.17215789692327144,0.9077778479541803
0.0001,29,0.5870894636300896,0.674972762321263
0.0001,30,0.2032058562682557,0.37427585626745746
0.0001,31,1.5495355423359192,1.0181825901873882
0.0001,32,0.17395633283319983,0.32589553576001784
0.0001,33,0.11665741089714896,0.3152483743659461
0.0001,34,0.49484931856621006,0.7798307157612289
0.0001,35,0.0796986397382351,0.5625546834821069
0.0001,36,0.7081379030946928,1.0849941533516008
0.0001,37,0.1544526044149648,0.1626430261869141
0.0001,38,0.45180879225488035,0.976451474193647
0.0001,39,0.1260352401471062,3.9765935996076003
0.001,0,0.24625643720324597,10.134730033688676
0.001,1,0.17494288039307948,0.4706109919298429
0.001,2,3.085729175588941,1.255366912806749
0.001,3,0.4733352476341515,0.3108368342871618
0.001,4,0.14133016369769796,2.3240239394399
0.001,5,0.3339072947506882,1.0072568088249865
0.001,6,0.1670877307178065,1.7204971362805173
0.001,7,2.349669007714192,1.2615967433436768
0.001,8,8831968.61787342,118139.04224451652
0.001,9,0.1645304069669519,0.5238016407856726
0.001,10,0.31879724340194376,11.195375372306126
0.001,11,0.24909631029890325,10.740222967042376
0.001,12,212.5543231288752,0.8748711217703979
0.001,13,0.7722225633131399,3.379348255441075
0.001,14,7.6440938070974225,1.2747581234616294
0.001,15,0.11627726853914638,0.4015091112389411
0.001,16,0.4601727616791831,4.4308605346578345
0.001,17,0.11942636037641147,0.2730190439676727
0.001,18,0.9310793130182271,1.210882103782134
0.001,19,3623125.4758315515,87240.15904699944
0.001,20,0.18069614555753996,1.8753227882621957
0.001,21,14822.765679717031,230.31521206113473
0.001,22,0.24919692234837054,0.8836468382760831
0.001,23,0.12818903537676168,3.706947875631251
0.001,24,0.21522817631281235,0.6868132393981315
0.001,25,4.605397142180544,1.2720647081195238
0.001,26,0.40269562790546276,0.32580287069806463
0.001,27,0.19877637369214318,0.6350300291697508
0.001,28,0.9999997921121,1.718440177093967
0.001,29,1.2423916048855725,1.228466770094798
0.001,30,0.2485029372777159,0.8413140325263352
0.001,31,0.9999998678682919,1.1913491412472497
0.001,32,0.8509953808039353,1.1097490326660169
0.001,33,0.12183795358642502,3.5340217791498123
0.001,34,19.388462933071732,1.277713815750522
0.001,35,0.15688160037702237,2.4019042753317894
0.001,36,0.1741842357831521,1.466949549877318
0.001,37,1.5637139920866518,1.2406308478847872
0.001,38,0.5796247759468174,0.23753505203394126
0.001,39,0.47700814476203757,11.875822004095129
