row_type,cell,a_lower,a_upper,first_lower,first_upper,second_lower,second_upper,root_width,objective_lower,objective_upper,numerical_objective,left_derivative_lower,right_derivative_upper,maximum_second_derivative_upper
curvature_cell,31,0.21992063522338867,0.2199859619140625,0.029856707813873656,0.03136518365477053,-3.988711311367813,-3.97046204002496,,,,,,,
curvature_cell,32,0.2199859619140625,0.22005128860473633,0.029596896527749657,0.031105077193159778,-3.988275199298556,-3.970030989674115,,,,,,,
curvature_cell,33,0.22005128860473633,0.22011661529541016,0.029337113435587075,0.03084499914188109,-3.987839770621084,-3.9696006142928364,,,,,,,
curvature_cell,34,0.22011661529541016,0.22018194198608398,0.029077358493117707,0.030584949456485603,-3.987405025023916,-3.969170913575303,,,,,,,
curvature_cell,35,0.22018194198608398,0.2202472686767578,0.028817631656093228,0.030324928092545143,-3.9869709621962444,-3.968741887216343,,,,,,,
curvature_cell,36,0.2202472686767578,0.22031259536743164,0.028557932880286057,0.030064935005651428,-3.986537581827926,-3.968313534911458,,,,,,,
curvature_cell,37,0.22031259536743164,0.22037792205810547,0.028298262121487904,0.02980497015141548,-3.9861048836094843,-3.9678858563567942,,,,,,,
curvature_cell,38,0.22037792205810547,0.2204432487487793,0.028038619335510353,0.029545033485470402,-3.9856728672321227,-3.9674588512491584,,,,,,,
curvature_cell,39,0.2204432487487793,0.22050857543945312,0.02777900447818547,0.029285124963467166,-3.9852415323877044,-3.967032519286014,,,,,,,
curvature_cell,40,0.22050857543945312,0.22057390213012695,0.027519417505364723,0.02902524454107869,-3.9848108787687653,-3.966606860165477,,,,,,,
curvature_cell,41,0.22057390213012695,0.22063922882080078,0.02725985837291887,0.028765392173996502,-3.9843809060685094,-3.9661818735863146,,,,,,,
curvature_cell,42,0.22063922882080078,0.2207045555114746,0.02700032703673971,0.02850556781793261,-3.983951613980795,-3.9657575592479657,,,,,,,
curvature_cell,43,0.2207045555114746,0.22076988220214844,0.026740823452737022,0.028245771428619355,-3.9835230022001737,-3.965333916850486,,,,,,,
