relative_noise,repetition,maximum_relative_pole_error,maximum_relative_weight_error,relative_curve_rmse,minimum_fitted_pole_separation
0.0001,7,0.2178146124046693,4.771598435706193,8.611442687422981e-05,7.548005147550718e-05
0.0001,8,0.5303524744543683,2.130647965269527,9.853267006826931e-05,0.560111418021124
0.0001,9,0.5303524744430282,2.773672274252918,9.778577168137478e-05,0.5059826738455426
0.0001,10,0.2117740145788792,4.306888522887667,8.362031029109379e-05,3.7574216227298507e-06
0.0001,11,0.20826152617236612,4.0472510494981515,9.799096761225535e-05,0.0002434035383052091
0.0001,12,0.1563177481791059,2.205335569751378,7.217803689727316e-05,0.00020395053744737268
0.0001,13,0.5303524743741312,1.602232696288466,9.855622374683906e-05,0.6119977533789049
0.0001,14,0.21966868678715656,4.868964252058856,9.433809018409144e-05,2.8744519718904016e-05
0.0001,15,0.37167667464829235,1.1508358042110358,9.031773244285102e-05,0.5963691565744547
0.0001,16,0.3504144181362226,0.8084541865415166,0.00010783660130291416,0.35738142539415607
0.0001,17,0.3504144472043853,0.5758450258166105,8.687112076122103e-05,0.3318926009647427
0.0001,18,0.3504144168562848,1.0625859105999529,8.690841015599107e-05,0.4448984327436263
0.0001,19,0.13072208028881643,0.9999999456722932,8.42906626249846e-05,0.101598653824168
0.0001,20,0.530352474454819,1.1525948801832284,9.904029236683335e-05,0.7584998562740336
0.0001,21,0.5139792621155364,1.1637665415728027,0.00011505036758048744,0.7465182602970856
0.0001,22,0.35041444710721087,1.0275496467304408,0.00010305005367726505,0.4229774836030702
0.0001,23,0.1404176178297014,3.4582724090016868,9.93591135476143e-05,8.170956042885535e-06
0.0001,24,0.3143109944002222,3.983191517506199,9.106626775501048e-05,0.4178221492095072
0.0001,25,0.3504136397781638,0.8444940332720446,9.10155105403784e-05,0.4087548523996172
0.0001,26,0.35041444613253375,0.9252064120649278,9.305899507368273e-05,0.39483159043962535
0.0001,27,0.3504144278856104,0.9552157393882197,9.323037008099811e-05,0.3838046464304866
