uses,survival,coherence,fraction_of_ideal_threshold,time,product_lower,GHZ_lower,winner,advantage
4,0.5,0.5,0.5,0.08995462675067366,0.11206146092255624,0.002762135864009951,product,0.1092993250585463
4,0.5,0.5,0.75,0.13493194012601048,0.16606444921354413,0.003608904423872214,product,0.16245554478967192
4,0.5,0.5,1.0,0.17990925350134732,0.21772605679731896,0.00390625,product,0.21381980679731896
4,0.5,0.7,0.25,0.04497731337533683,0.0829491836035475,0.005742643256928627,product,0.07720654034661888
4,0.5,0.7,0.5,0.08995462675067366,0.16429908745891222,0.010611021135180625,product,0.1536880663237316
4,0.5,0.7,0.75,0.13493194012601048,0.2425427383371017,0.013863967234747494,product,0.22867877110235418
4,0.5,0.7,1.0,0.17990925350134732,0.3163488587350918,0.015006249999999997,product,0.3013426087350918
4,0.5,0.9,0.25,0.04497731337533683,0.11355096239453236,0.015692412498420964,product,0.0978585498961114
4,0.5,0.9,0.5,0.08995462675067366,0.2242471372458964,0.028995797446030862,product,0.19525133979986553
4,0.5,0.9,0.75,0.13493194012601048,0.3294338830533314,0.03788483508004095,product,0.2915490479732904
4,0.5,0.9,1.0,0.17990925350134732,0.42683736038695447,0.04100625,product,0.38583111038695445
4,0.5,1.0,0.25,0.04497731337533683,0.13076377922915983,0.02391771452281811,product,0.10684606470634171
4,0.5,1.0,0.5,0.08995462675067366,0.2578178148010852,0.044194173824159216,product,0.21362364097692596
4,0.5,1.0,0.75,0.13493194012601048,0.37772930641312547,0.05774247078195542,product,0.31998683563117003
4,0.5,1.0,1.0,0.17990925350134732,0.48759257236758524,0.0625,product,0.42509257236758524
4,0.7,0.5,0.25,0.04497731337533683,0.06823709260031281,0.005742643256928627,product,0.06249444934338418
4,0.7,0.5,0.5,0.08995462675067366,0.13535120237801787,0.010611021135180625,product,0.12474018124283724
4,0.7,0.5,0.75,0.13493194012601048,0.20027589573473087,0.013863967234747494,product,0.18641192849998336
4,0.7,0.5,1.0,0.17990925350134732,0.2620520067862582,0.015006249999999997,product,0.24704575678625817
4,0.7,0.7,0.25,0.04497731337533683,0.10061705840857167,0.022060938335817012,product,0.07855612007275466
4,0.7,0.7,0.5,0.08995462675067366,0.19889332105931,0.04076329879290989,product,0.15813002226640013
4,0.7,0.7,0.75,0.13493194012601048,0.29265740577177424,0.053259816529005966,product,0.23939758924276827
4,0.7,0.7,1.0,0.17990925350134732,0.3800567593439928,0.05764800999999998,product,0.32240874934399283
4,0.7,0.9,0.25,0.04497731337533683,0.13858349662489938,0.06028397185393396,product,0.07829952477096543
4,0.7,0.9,0.5,0.08995462675067366,0.2726886267197251,0.11139025546867214,product,0.16129837125105295
4,0.7,0.9,0.75,0.13493194012601048,0.3982349771434284,0.14553838244348527,product,0.25269659469994316
4,0.7,0.9,1.0,0.17990925350134732,0.5118902177339562,0.15752960999999996,product,0.35436060773395617
4,0.7,1.0,0.25,0.04497731337533683,0.16027183931644695,0.09188229211085804,product,0.06838954720558892
4,0.7,1.0,0.5,0.08995462675067366,0.3145359807384248,0.16977633816289,product,0.1447596425755348
4,0.7,1.0,0.75,0.13493194012601048,0.4573544231623297,0.2218234757559599,product,0.23553094740636982
4,0.7,1.0,1.0,0.17990925350134732,0.5843605721475225,0.24009999999999995,product,0.3442605721475225
4,0.9,0.5,0.25,0.04497731337533683,0.07757222205053366,0.015692412498420964,product,0.0618798095521127
4,0.9,0.5,0.5,0.08995462675067366,0.15371097185573357,0.028995797446030862,product,0.1247151744097027
4,0.9,0.5,0.75,0.13493194012601048,0.22706633448280222,0.03788483508004095,product,0.18918149940276127
4,0.9,0.5,1.0,0.17990925350134732,0.29644586144082363,0.04100625,product,0.2554396114408236
