pair,window_idx,start,stop,max_abs_corr,best_lag_ms,corr_at_0ms,corr_at_10ms,mean_abs_corr
H1-L1,138,1130496,1163264,0.010837574846146125,10.7421875,-0.0036785679723250688,-0.010373516474806235,0.006206177664867089
H1-L1,139,1138688,1171456,0.005083194858707342,-10.7421875,0.0025324649794053293,0.00044306919427315034,0.0025098220412815694
H1-L1,140,1146880,1179648,0.011655067651801304,14.404296875,-0.0036712616936635718,0.007622576725917624,0.0054891433953131235
H1-L1,141,1155072,1187840,0.005515921178377927,14.6484375,-0.001975443304163297,0.0034479493890370396,0.002852612417013485
H1-L1,142,1163264,1196032,0.01673463953007315,14.892578125,-0.008213299228937846,0.009519397051845608,0.009955896023001846
H1-L1,143,1171456,1204224,0.02185952812041474,-11.962890625,-0.0028867119258647227,0.014930458446286841,0.013399824407206598
H1-L1,144,1179648,1212416,0.023885881012180976,13.18359375,0.0007746173409389508,0.020919249918581632,0.015387283444238311
H1-L1,145,1187840,1220608,0.02793975768566481,14.892578125,-0.001794993130315755,0.023404920664087055,0.017552699917845024
H1-L1,146,1196032,1228800,0.014653649578994597,10.498046875,0.007463900846277984,0.014377935535207617,0.009533044587956896
H1-L1,147,1204224,1236992,0.010395582089038648,8.30078125,0.007872740556465495,0.009953165203585041,0.006459812629357167
H1-L1,148,1212416,1245184,0.002325054058723279,-7.080078125,0.00015521298585530235,-0.000981154551237719,0.001008517795962413
H1-L1,149,1220608,1253376,0.011898251339367736,-9.033203125,0.005528292978937712,-0.0061759325051708785,0.007410099044984851
H1-L1,150,1228800,1261568,0.007768496512866727,-6.591796875,0.005824348759784546,0.0013019438130142337,0.00482069309855695
H1-L1,151,1236992,1269760,0.006822299444176137,-6.8359375,0.004236303585373184,-0.002376713293394317,0.004243596966815202
H1-L1,152,1245184,1277952,0.00882229855688818,3.662109375,0.00807716283490653,0.006637039586206436,0.005244148354312143
H1-L1,153,1253376,1286144,0.00889549449929052,1.708984375,0.008469787532365408,0.005404364438013522,0.004888872456344553
H1-L1,154,1261568,1294336,0.010308731272671956,2.44140625,0.009467975287843133,0.007028599771810468,0.006049758659739048
H1-L1,155,1269760,1302528,0.005065735359717079,1.953125,0.004806428855948172,0.0040663652366134196,0.003380219179512047
H1-L1,156,1277952,1310720,0.007685223872116171,-5.615234375,0.006717474406750277,0.0017176495701518388,0.005090690016953327
H1-L1,157,1286144,1318912,0.010010492864635652,8.30078125,0.005907210020123586,0.009585078696284385,0.005353656090387723
H1-L1,158,1294336,1327104,0.0072596002784215885,14.6484375,0.0015402265032248889,0.005723121566789523,0.002884391565138151
H1-L1,159,1302528,1335296,0.01070555283895599,8.7890625,0.004803420072921485,0.009646594109672798,0.006133994391414143
H1-L1,160,1310720,1343488,0.013101167876997588,12.6953125,-0.00022962622773821498,0.01103606751883928,0.006858586840509043
H1-L1,161,1318912,1351680,0.006746617125476639,-3.662109375,-0.005733024099825016,0.001465266809621997,0.003505225545178871
H1-L1,162,1327104,1359872,0.004848815711714304,-14.404296875,-0.0018422839953797143,-0.0024291927377628926,0.00222475309450753
H1-L1,163,1335296,1368064,0.007206881733550869,2.685546875,-0.005345270424343966,-0.002829734741312585,0.003939365261299777
H1-L1,164,1343488,1376256,0.006625831260745309,-2.9296875,-0.004905727560145932,-0.0021665500517080495,0.0038223134067477908
H1-L1,165,1351680,1384448,0.007801097598920326,-2.9296875,-0.0064608000897482575,-0.0032316103848776,0.004905431978451659
H1-L1,166,1359872,1392640,0.008771347529189968,-8.544921875,-0.004146560367111138,0.001964098146752284,0.00421290361376367
H1-L1,167,1368064,1400832,0.009414563594743082,-2.44140625,-0.009180733027582494,-0.006123736421875414,0.006534073690427608
