row_type,probe_count,minimum_profiled_pole_information,maximum_profiled_pole_information,profiled_condition_number,new_probe_residues,relative_noise,pole_half_separation,gaussian_kl,bayes_error_lower_bound
collision_lower_bound,4,,,,,0.001,0.2,10602.65561148185,0.0
collision_lower_bound,16,,,,,0.001,0.0001,2.5744959731436075e-09,0.4999820608808287
collision_lower_bound,16,,,,,0.001,0.00012425536308277683,6.136952986580123e-09,0.4999723030845883
collision_lower_bound,16,,,,,0.001,0.00015439395254832698,1.4628957057797802e-08,0.49995723763766786
collision_lower_bound,16,,,,,0.001,0.00019184276631677367,3.487176573681233e-08,0.4999339774984032
collision_lower_bound,16,,,,,0.001,0.0002383749258349502,8.312554739570267e-08,0.49989806524918134
collision_lower_bound,16,,,,,0.001,0.00029619362959451735,1.9815046576386252e-07,0.49984261890767795
collision_lower_bound,16,,,,,0.001,0.0003680364698807227,4.7234104156715576e-07,0.4997570131069463
collision_lower_bound,16,,,,,0.001,0.00045730505192732656,1.1259426672879363e-06,0.49962484292168347
collision_lower_bound,16,,,,,0.001,0.0005682260526681802,2.683965220254353e-06,0.4994207801345501
collision_lower_bound,16,,,,,0.001,0.0007060513448737779,6.397900911662164e-06,0.4991057194992857
collision_lower_bound,16,,,,,0.001,0.0008773066621237416,1.5250994544160788e-05,0.4986192848526868
collision_lower_bound,16,,,,,0.001,0.0010901005783712453,3.635455793510979e-05,0.49786825898808307
collision_lower_bound,16,,,,,0.001,0.001354508431622641,8.666019101248935e-05,0.496708720024586
collision_lower_bound,16,,,,,0.001,0.0016830493696995367,0.00020657631508576828,0.4949184609235271
collision_lower_bound,16,,,,,0.001,0.002091279105182548,0.000492426686405401,0.4921544065998374
collision_lower_bound,16,,,,,0.001,0.002598526445218819,0.0011738237672658108,0.4878868678324627
collision_lower_bound,16,,,,,0.001,0.0032288084693086177,0.002798108964501914,0.48129803163935037
collision_lower_bound,16,,,,,0.001,0.004011967686786871,0.0066700175135021,0.47112523265569467
collision_lower_bound,16,,,,,0.001,0.004985085015980705,0.015899749940007764,0.4554189643177621
collision_lower_bound,16,,,,,0.001,0.0061942354865919345,0.03790138752076103,0.431169240596263
collision_lower_bound,16,,,,,0.001,0.007696669794067008,0.09034876760179487,0.3937286682579711
collision_lower_bound,16,,,,,0.001,0.009563524997900372,0.21537382501907384,0.3359215793366348
collision_lower_bound,16,,,,,0.001,0.011883192709653233,0.5134156618430339,0.24666828518643935
collision_lower_bound,16,,,,,0.001,0.01476550424720569,1.2239221703071095,0.10886029185419094
collision_lower_bound,16,,,,,0.001,0.018346930913368264,2.9177737373236075,0.0
collision_lower_bound,16,,,,,0.001,0.022797045620951938,6.956161862063188,0.0
collision_lower_bound,16,,,,,0.001,0.028326551808460103,16.585135745373528,0.0
collision_lower_bound,16,,,,,0.001,0.03519725979843299,39.54728678535531,0.0
collision_lower_bound,16,,,,,0.001,0.043734482957731156,94.31678180159095,0.0
collision_lower_bound,16,,,,,0.001,0.054342440591504,224.99689540464817,0.0
collision_lower_bound,16,,,,,0.001,0.06752339686501552,536.9603378035811,0.0
collision_lower_bound,16,,,,,0.001,0.08390144194044938,1282.2812489942226,0.0
collision_lower_bound,16,,,,,0.001,0.10425204131479057,3065.1411731709204,0.0
collision_lower_bound,16,,,,,0.001,0.12953875245689953,7338.00021160824,0.0
collision_lower_bound,16,,,,,0.001,0.16095884719822,17608.77830135592,0.0
collision_lower_bound,16,,,,,0.001,0.2,42410.6224459274,0.0
