row_type,omega,phi,beta,eta,score,all_pass,index,normalized_distance_from_frozen
local_perturbation,0.18447853002192657,0.16060518297441342,1.0,1.7584763536006591,2.5489398514652337,False,18,1.064716431546381
local_perturbation,0.19299220961690663,0.1624999999999998,1.0,1.7857606622925104,2.122669917354926,True,19,1.2584345626836404
local_perturbation,0.18479914750242457,0.13878490672127988,0.9718830925755301,1.8,2.268168317893177,True,20,1.55122205340694
local_perturbation,0.18515699388599505,0.1460760899688647,0.9654846388269763,1.7871342488727122,2.445765407974657,True,21,1.3850150827511132
local_perturbation,0.18744566272533433,0.1624999999999998,1.0,1.7706849556184256,2.097073672924397,True,22,0.7854782369800789
local_perturbation,0.1756569336340812,0.1624999999999998,1.0,1.7974530337486543,2.580244781619989,False,23,1.6833824002854183
local_perturbation,0.18278108644993232,0.1624999999999998,1.0,1.8,1.8730359646651307,True,24,0.4948189250112792
local_perturbation,0.18286131405581293,0.12660538929276113,1.0,1.691849577137029,5.890571419935574,False,25,3.39392508946655
local_perturbation,0.19196662146165785,0.1624999999999998,0.9838084600395637,1.8,2.1743860935098143,True,26,1.134690995760733
local_perturbation,0.18336579516839813,0.1624999999999998,0.9274578133569613,1.8,2.4300347721895137,True,27,2.110382005259026
local_perturbation,0.19146338271211788,0.1472675592451292,1.0,1.7899483013841129,1.9301221433898132,True,28,1.2984699568114488
local_perturbation,0.19599947220054278,0.1624999999999998,0.984672824174885,1.7846871817973635,2.2645573658694933,True,29,1.8045573017535999
local_perturbation,0.19064442191210249,0.15067098965504339,0.9772660267391208,1.7394445492809463,2.8709134127766363,False,30,1.9521916339295378
local_perturbation,0.19541049216338283,0.1624999999999998,0.9751581420111494,1.764252685672668,2.028065958642016,True,31,1.9735255018655544
local_perturbation,0.1843485242454434,0.1624999999999998,0.983375525584562,1.8,1.9035269269276267,True,32,0.529310891829269
local_perturbation,0.1805305705354807,0.13673417962002213,0.995057105913243,1.7866085284754751,2.8170745084091675,False,33,1.7139912575856073
local_perturbation,0.1856672775194315,0.14630576496980024,1.0,1.8,1.894527666784088,True,34,0.8997853572793322
local_perturbation,0.1941394694807228,0.1624999999999998,0.972151765932712,1.8,2.2741173879836407,True,35,1.6087789683967526
local_perturbation,0.17656593903478424,0.1624999999999998,0.9815991188246233,1.7927645370046321,2.7290271190060302,False,36,1.6285249415942231
local_perturbation,0.19024558263768726,0.1534782358730593,1.0,1.743975429786499,2.5566958907775765,True,37,1.6656311337858927
