times,minimum_fisher_eigenvalue,condition_number,cramer_rao_sd_log_scale,cramer_rao_sd_quadratic_clock,cramer_rao_sd_cubic_clock
"[0.05, 0.2590909090909091, 0.5727272727272728, 0.6772727272727272]",3.9526049469480866,2640.0211004099237,0.05609892067651402,0.32418516420620863,0.38425803907285294
"[0.05, 0.2590909090909091, 0.5727272727272728, 0.7818181818181819]",8.352857542638707,1322.3953904678492,0.04932921723729625,0.24065413817804945,0.24767926113548
"[0.05, 0.2590909090909091, 0.5727272727272728, 0.8863636363636364]",13.848884086654705,846.1756732923569,0.04586354234951133,0.19825675811915833,0.17937540079384157
"[0.05, 0.2590909090909091, 0.5727272727272728, 0.9909090909090909]",19.574095839211104,637.8634587670233,0.043824980309611544,0.17410397918586257,0.1409352824731509
"[0.05, 0.2590909090909091, 0.5727272727272728, 1.0954545454545455]",25.153325063764147,531.9221467381301,0.042463138390642745,0.1585654735840721,0.11655560356573624
"[0.05, 0.2590909090909091, 0.5727272727272728, 1.2]",30.446019487888627,474.0391116774841,0.041474924457976306,0.14767182596064224,0.09970622798401381
"[0.05, 0.2590909090909091, 0.6772727272727272, 0.7818181818181819]",5.261438558807035,2228.9628857391417,0.054248872698687535,0.29967189559547225,0.3150465816399082
"[0.05, 0.2590909090909091, 0.6772727272727272, 0.8863636363636364]",11.207554779150266,1111.0953016113688,0.04654659230587765,0.2172472163541414,0.20325508835973377
"[0.05, 0.2590909090909091, 0.6772727272727272, 0.9909090909090909]",19.020425455444318,697.6046755086462,0.04272945535314643,0.17476661449644024,0.14594135515228268
"[0.05, 0.2590909090909091, 0.6772727272727272, 1.0954545454545455]",27.412210537832213,518.217252485958,0.04058736022384235,0.15084759282256846,0.11368955044231514
"[0.05, 0.2590909090909091, 0.6772727272727272, 1.2]",35.71368926133307,428.1855316791847,0.03920884282856437,0.13572589711734792,0.09338985566833134
"[0.05, 0.2590909090909091, 0.7818181818181819, 0.8863636363636364]",6.511426719866047,2032.2790747861907,0.05299839293226666,0.28340362042881984,0.2680843732458987
"[0.05, 0.2590909090909091, 0.7818181818181819, 0.9909090909090909]",13.905651595472184,1014.5105548614815,0.04464298851721762,0.2023222057922608,0.17355695373346228
"[0.05, 0.2590909090909091, 0.7818181818181819, 1.0954545454545455]",23.983168173210153,629.5326012180525,0.04056132788088599,0.15985732882858394,0.12411647153712761
"[0.05, 0.2590909090909091, 0.7818181818181819, 1.2]",35.115881405871235,462.23017741337225,0.038341160876515526,0.13599815487319583,0.09617662728860912
"[0.05, 0.2590909090909091, 0.8863636363636364, 0.9909090909090909]",7.65435806261894,1962.1796652608307,0.05217204018531788,0.27230379952976996,0.23428020108034622
"[0.05, 0.2590909090909091, 0.8863636363636364, 1.0954545454545455]",16.299835104129752,985.979483353612,0.043348695901019585,0.1927000996709629,0.1525608242375034
"[0.05, 0.2590909090909091, 0.8863636363636364, 1.2]",28.41038529083978,607.5478620094304,0.03904321747099749,0.15025374459926283,0.10900489007234027
"[0.05, 0.2590909090909091, 0.9909090909090909, 1.0954545454545455]",8.666582999812071,1977.7905465779654,0.05164932473766284,0.26461723867689824,0.20884851254233788
"[0.05, 0.2590909090909091, 0.9909090909090909, 1.2]",18.321289315951052,1003.8278462132,0.04248473062096985,0.18654580955291572,0.13704655503339708
"[0.05, 0.2590909090909091, 1.0954545454545455, 1.2]",9.542463866751785,2057.9501135265855,0.051345940935558956,0.25926499782765183,0.1890366810950729
"[0.05, 0.3636363636363636, 0.46818181818181814, 0.5727272727272728]",3.3397629765548125,2979.443541195256,0.0587460062532327,0.32531494227548957,0.44370258786528655
"[0.05, 0.3636363636363636, 0.46818181818181814, 0.6772727272727272]",6.541061854739199,1605.1276467523894,0.05661067916391582,0.26233647641891406,0.29059366341293913
"[0.05, 0.3636363636363636, 0.46818181818181814, 0.7818181818181819]",9.618255619560856,1151.3531268651705,0.055310682644272205,0.23254498194294448,0.22120286998573765
"[0.05, 0.3636363636363636, 0.46818181818181814, 0.8863636363636364]",12.429726735517907,941.8442900708824,0.05439018480478198,0.2145279777672476,0.18119845623199013
"[0.05, 0.3636363636363636, 0.46818181818181814, 0.9909090909090909]",14.999037017040004,828.8086557663282,0.05368994872578223,0.20209718868424928,0.15462164895053537
"[0.05, 0.3636363636363636, 0.46818181818181814, 1.0954545454545455]",17.35461206857248,765.3271118910699,0.053134898074420345,0.19285585804895541,0.13540289136272124
"[0.05, 0.3636363636363636, 0.46818181818181814, 1.2]",19.517978377881914,732.2929291416671,0.05268253883964933,0.1856538578025449,0.12072441531349874
"[0.05, 0.3636363636363636, 0.5727272727272728, 0.6772727272727272]",5.5089499993361875,2019.8378181455857,0.05686541353762173,0.2805630766334053,0.3213126999737162
"[0.05, 0.3636363636363636, 0.5727272727272728, 0.7818181818181819]",9.590214506805609,1224.384040582861,0.053829197593728534,0.2297521478890673,0.2256014305038828
"[0.05, 0.3636363636363636, 0.5727272727272728, 0.8863636363636364]",14.054041133578078,883.2528642302008,0.05179249511660876,0.20039756655223026,0.17271236230960868
"[0.05, 0.3636363636363636, 0.5727272727272728, 0.9909090909090909]",18.395233458106627,716.0279980590419,0.050363037268067096,0.1819470636013873,0.14066560158268765
"[0.05, 0.3636363636363636, 0.5727272727272728, 1.0954545454545455]",22.480403283816187,624.9288330307194,0.04929434756923936,0.16921509745856245,0.11923263341498717
"[0.05, 0.3636363636363636, 0.5727272727272728, 1.2]",26.286499307159474,573.5454850272758,0.04845848374765724,0.1598224812661851,0.10382000731760901
"[0.05, 0.3636363636363636, 0.6772727272727272, 0.7818181818181819]",7.636178412391983,1627.0227066297286,0.05548624357615249,0.2548374280148098,0.25534837311690917
"[0.05, 0.3636363636363636, 0.6772727272727272, 0.8863636363636364]",12.732046733382909,1032.399913871357,0.05150853727892999,0.2081078469200332,0.18489710299100048
"[0.05, 0.3636363636363636, 0.6772727272727272, 0.9909090909090909]",18.877008954094887,738.9762194805327,0.04877296830670943,0.1781707746139421,0.14146139178142822
"[0.05, 0.3636363636363636, 0.6772727272727272, 1.0954545454545455]",25.193285612555243,590.1797545983799,0.0469154523976319,0.15902865146026532,0.11434187098752027
"[0.05, 0.3636363636363636, 0.6772727272727272, 1.2]",31.310582316900017,508.78629781220246,0.04557584689381972,0.14593306184331872,0.09616921359617499
"[0.05, 0.3636363636363636, 0.7818181818181819, 0.8863636363636364]",9.655650813109622,1441.5134838393076,0.054473044493654636,0.23791408394555827,0.21343913134500814
"[0.05, 0.3636363636363636, 0.7818181818181819, 0.9909090909090909]",15.77661017639009,936.8289054484216,0.049734553226916875,0.1933187969668523,0.1572962178126559
"[0.05, 0.3636363636363636, 0.7818181818181819, 1.0954545454545455]",23.667826472960893,665.5362893668412,0.046433832982960555,0.1629543321704492,0.12030774512692478
"[0.05, 0.3636363636363636, 0.7818181818181819, 1.2]",32.15026969630235,524.4295140753231,0.04424890696029898,0.1432960148907313,0.09670883599759436
"[0.05, 0.3636363636363636, 0.8863636363636364, 0.9909090909090909]",11.53024866651343,1359.86551345395,0.053737868867019645,0.2260003271872785,0.18420285731414554
"[0.05, 0.3636363636363636, 0.8863636363636364, 1.0954545454545455]",18.58664012078434,899.1301090122903,0.04843660574435012,0.18303399919678995,0.1375122294556155
"[0.05, 0.3636363636363636, 0.8863636363636364, 1.2]",28.11411345169685,635.8592338494194,0.04469402001572573,0.15251771104680942,0.10531793269257912
"[0.05, 0.3636363636363636, 0.9909090909090909, 1.0954545454545455]",13.24014895341312,1341.7108415440855,0.053212736692938085,0.21726069465403186,0.16255082950841807
"[0.05, 0.3636363636363636, 0.9909090909090909, 1.2]",21.085584192643726,900.6632723205606,0.04751610069264922,0.17579722828233554,0.12271276897577446
"[0.05, 0.3636363636363636, 1.0954545454545455, 1.2]",14.779974597411018,1367.9361616510857,0.05284532440850432,0.21066105845845437,0.14582506218864022
"[0.05, 0.46818181818181814, 0.5727272727272728, 0.6772727272727272]",5.808992888946966,2031.3100888380225,0.05629047990782507,0.2683798167713671,0.31938216292547883
"[0.05, 0.46818181818181814, 0.5727272727272728, 0.7818181818181819]",10.9319239656641,1137.4194877689044,0.0548907819655329,0.21624944496573326,0.21124381169646977
"[0.05, 0.46818181818181814, 0.5727272727272728, 0.8863636363636364]",15.601712423479015,841.0117712428469,0.05401467627339968,0.19191437865651184,0.16168914439074406
"[0.05, 0.46818181818181814, 0.5727272727272728, 0.9909090909090909]",19.66005799179127,706.5050451627355,0.053374331037692666,0.17737620729658257,0.1332491629414842
"[0.05, 0.46818181818181814, 0.5727272727272728, 1.0954545454545455]",23.236239092673166,635.666909045833,0.052872557888249544,0.16737502880241684,0.11442894039027386
"[0.05, 0.46818181818181814, 0.5727272727272728, 1.2]",26.43698098599999,597.4031752746916,0.052464374908796525,0.15991662964243963,0.10082699698356817
"[0.05, 0.46818181818181814, 0.6772727272727272, 0.7818181818181819]",9.406070664567315,1395.686142897276,0.055152111924719395,0.2304046604401002,0.2305408414959916
"[0.05, 0.46818181818181814, 0.6772727272727272, 0.8863636363636364]",14.85288399757084,933.1392555677547,0.05336164151218794,0.1946102341552209,0.169006505453003
"[0.05, 0.46818181818181814, 0.6772727272727272, 0.9909090909090909]",20.50927323504559,715.3661876581374,0.0520085582015438,0.17257944401133724,0.13268190546820968
"[0.05, 0.46818181818181814, 0.6772727272727272, 1.0954545454545455]",25.8239861582185,603.7459058007221,0.050982831748016544,0.15819406997310287,0.10982200114636864
"[0.05, 0.46818181818181814, 0.6772727272727272, 1.2]",30.706654202943334,542.1119891853342,0.05017435143845576,0.14801935430144111,0.09418464976846413
"[0.05, 0.46818181818181814, 0.7818181818181819, 0.8863636363636364]",12.703711827436893,1152.4099148313715,0.054321319013844224,0.2094744240316289,0.1838447048209117
