time,half_diamond_distance,diamond_norm,perfectly_distinguishable,legacy_scale
0.053935092176747586,0.11745571228650879,0.23491142457301759,False,0.13044237640961015
0.057051509468685466,0.12420825457798132,0.24841650915596264,False,0.13044237640961015
0.06034799610593315,0.13134470303699924,0.2626894060739985,False,0.13044237640961015
0.0638349566544016,0.13888609304628036,0.2777721860925607,False,0.13044237640961015
0.06752339686501552,0.1468544656293135,0.293708931258627,False,0.13044237640961015
0.07142495841071432,0.15527288728778438,0.31054577457556876,False,0.13044237640961015
0.07555195563058847,0.16416546403855553,0.32833092807711106,False,0.13044237640961015
0.07991741439712415,0.17355734806510736,0.34711469613021473,False,0.13044237640961015
0.08453511322923132,0.18347473508544757,0.36694947017089513,False,0.13044237640961015
0.08941962678081995,0.1939448501695537,0.3878897003391074,False,0.13044237640961015
0.09458637184218315,0.204995919304919,0.409991838609838,False,0.13044237640961015
0.10005165599938212,0.21665712349816288,0.43331424699632576,False,0.13044237640961015
0.10583272910521281,0.22895853160140667,0.45791706320281333,False,0.13044237640961015
0.11194783772421048,0.24193100735034825,0.4838620147006965,False,0.13044237640961015
0.11841628272353497,0.2556060852807228,0.5112121705614456,False,0.13044237640961015
0.1252584801915079,0.27001580923341845,0.5400316184668369,False,0.13044237640961015
0.13249602587607734,0.285192526046137,0.570385052092274,False,0.13044237640961015
0.14015176334659324,0.3011686257394618,0.6023372514789236,False,0.13044237640961015
0.14824985609403105,0.3179762180141346,0.6359524360282692,False,0.13044237640961015
0.15681586379722953,0.33564673315944454,0.6712934663188891,False,0.13044237640961015
0.16587682299585968,0.35421043350438,0.70842086700876,False,0.13044237640961015
0.17546133242474835,0.3736958192984754,0.7473916385969508,False,0.13044237640961015
0.18559964327889547,0.3941289103648216,0.7882578207296432,False,0.13044237640961015
0.19632375469408303,0.41553238200464865,0.8310647640092973,False,0.13044237640961015
0.20766751474443815,0.43792453043981866,0.8758490608796373,False,0.13044237640961015
0.21966672727572484,0.4613180395577165,0.922636079115433,False,0.13044237640961015
0.2323592649115576,0.48571851689202983,0.9714370337840597,False,0.13044237640961015
0.24578518858921355,0.5111227626805538,1.0222455253611076,False,0.13044237640961015
