experiment,time,control,completion_coordinate,estimated_derivative
sinusoid,5.6000000000000005,0.32908279504820015,0.5337229578179575,-0.035660728824502
sinusoid,5.64,0.3142503829839464,0.5322965286649775,-0.042850070247113514
sinusoid,5.68,0.29958321346059136,0.5305825258550929,-0.061708998400103465
sinusoid,5.72,0.28514908134035,0.5281141659190888,-0.061679436391440245
sinusoid,5.76,0.2710147043356435,0.5256469884634312,-0.0638924723060097
sinusoid,5.8,0.2572454146252537,0.5230912895711908,-0.08030141366883181
sinusoid,5.84,0.2439048568747192,0.5198792330244375,-0.08178085685099923
sinusoid,5.88,0.23105469405678475,0.5166079987503975,-0.07946049270232125
sinusoid,5.92,0.2187543224316697,0.5134295790423047,-0.09613419465626383
sinusoid,5.96,0.20706059700457358,0.5095842112560541,-0.09376636795132287
sinusoid,6.0,0.19602756872942068,0.5058335565380012,-0.10106060412213291
sinusoid,6.04,0.18570623467354128,0.5017911323731159,-0.10948197573290297
sinusoid,6.08,0.17614430229808356,0.4974118533437998,-0.10330119316080827
sinusoid,6.12,0.16738596894370522,0.49327980561736745,-0.12178861425244936
sinusoid,6.16,0.15947171754080697,0.4884082610472695,-0.1035354673356706
sinusoid,6.2,0.15243812948858368,0.48426684235384265,-0.10688391916141571
sinusoid,6.24,0.14631771556780426,0.479991485587386,-0.1201038601163551
sinusoid,6.28,0.14113876566888017,0.4751873311827318,-0.11868591269651729
sinusoid,6.32,0.13692521802980984,0.47043989467487113,-0.11432504929973497
sinusoid,6.36,0.13369654858841282,0.46586689270288173,-0.11236723573750523
sinusoid,6.4,0.13146768096028977,0.4613722032733815,-0.10683780731225168
sinusoid,6.44,0.1302489174586106,0.45709869098089145,-0.10683450973505149
sinusoid,6.48,0.13004589147457166,0.4528253105914894,-0.11903002032374183
sinusoid,6.5200000000000005,0.1308595414386309,0.4480641097785397,-0.10886029245421036
sinusoid,6.5600000000000005,0.13268610648287754,0.4437096980803713,-0.10181509846275971
sinusoid,6.6000000000000005,0.13551714382458477,0.4396370941418609,-0.10886628622302497
sinusoid,6.640000000000001,0.1393395677905966,0.4352824426929399,-0.08532096976681669
sinusoid,6.68,0.14413571030216824,0.43186960390226725,-0.09799978181879165
sinusoid,6.72,0.14988340254068627,0.4279496126295156,-0.08140180617661613
sinusoid,6.76,0.1565560774167922,0.42469354038245094,-0.09762509447955592
sinusoid,6.8,0.16412289236927402,0.4207885366032687,-0.06144375095010618
sinusoid,6.84,0.17254887192612348,0.41833078656526446,-0.08161019938866254
sinusoid,6.88,0.1817950693688084,0.41506637858971795,-0.06128585739746811
sinusoid,6.92,0.19181874675251703,0.41261494429381923,-0.05766188051493509
sinusoid,6.96,0.20257357245027574,0.4103084690732218,-0.04668298428722878
sinusoid,7.0,0.21400983530785267,0.4084411497017327,-0.04235323380542555
sinusoid,7.04,0.22607467441957296,0.40674702034951565,-0.03274050024490299
sinusoid,7.08,0.23871232346297633,0.40543740033971953,-0.031660355172381804
sinusoid,7.12,0.25186436846294286,0.40417098613282426,-0.019338773736807258
sinusoid,7.16,0.2654700177938496,0.40339743518335197,-0.01935464783900942
sinusoid,7.2,0.27946638317174555,0.4026232492697916,-0.002998436847463648
sinusoid,7.24,0.2937887703377427,0.40250331179589305,0.008804399686594688
sinusoid,7.28,0.30837097808901454,0.40285548778335684,0.008979689933137636
sinusoid,7.32,0.32314560427522065,0.40321467538068234,0.013937222459284304
sinusoid,7.36,0.3380443573459712,0.4037721642790537,0.03658490497051303
