ensemble,index,delay5_r2,nonlinear_prediction_r2,narma10_r2,parity3_accuracy
symmetric_radius_matched,3,0.3862326167088128,0.9543125424825554,0.6318993243740577,0.7570588235294118
symmetric_radius_matched,4,0.22054863204761121,0.9545408099958139,0.6525974810443174,0.8064705882352942
symmetric_radius_matched,5,0.34918529926798125,0.9417455170118807,0.6601314037682775,0.9647058823529412
symmetric_radius_matched,6,0.478175777343515,0.9520295771077413,0.6257212189579413,0.7864705882352941
symmetric_radius_matched,7,0.6145382078117952,0.9653913632019528,0.6448209421330421,0.888235294117647
symmetric_radius_matched,8,0.5978223414363844,0.964584000825866,0.6492246943933828,0.9747058823529412
symmetric_radius_matched,9,0.6605956660197573,0.9719354996206803,0.6583491035428002,0.7464705882352941
symmetric_radius_matched,10,0.34999889878167334,0.9624455452839766,0.6346457879097356,0.9358823529411765
symmetric_radius_matched,11,0.366170251867565,0.9473773082509669,0.6209481508546161,0.9135294117647059
symmetric_radius_matched,12,0.38114667164987215,0.9513656643245393,0.5538161597255022,0.8352941176470589
symmetric_radius_matched,13,0.41402149514532005,0.9640256239550574,0.6571335789284063,0.8052941176470588
symmetric_radius_matched,14,0.42644390034523705,0.9530535147464108,0.5900515057809237,0.8894117647058823
symmetric_radius_matched,15,0.575276797530047,0.9636889699356872,0.6631689339045734,0.7741176470588236
symmetric_radius_matched,16,0.4462454343549116,0.9502745831307677,0.5642417806523488,0.5523529411764706
symmetric_radius_matched,17,0.5877983324996694,0.960415439083053,0.6769779285094666,0.9741176470588235
symmetric_radius_matched,18,0.2872762084583459,0.9494705733728251,0.6226044630117533,0.9035294117647059
symmetric_radius_matched,19,0.3548052255259557,0.9537008871016778,0.6134180146510386,0.7441176470588236
symmetric_radius_matched,20,0.3685025372045706,0.9378531794988193,0.6691403083378906,0.97
symmetric_radius_matched,21,0.20943188346126584,0.9633450812164466,0.6387592340230137,0.8694117647058823
symmetric_radius_matched,22,0.6161338828149423,0.9556668590714291,0.6589156313359898,1.0
symmetric_radius_matched,23,0.3856315685942753,0.9635154531251847,0.5937199227478613,0.8405882352941176
symmetric_radius_matched,24,0.33651714909681896,0.9553001840224061,0.6690405067680624,0.9676470588235294
symmetric_radius_matched,25,0.5042953744210383,0.9579642791637867,0.6408543035693779,0.9988235294117647
symmetric_radius_matched,26,0.28503828017523036,0.9498444943390284,0.6494381716604741,0.9352941176470588
symmetric_radius_matched,27,0.6807436143424503,0.9615936599249558,0.5619979393055191,1.0
symmetric_radius_matched,28,0.45252654590752595,0.9603397104024998,0.606081940219074,0.9711764705882353
symmetric_radius_matched,29,0.47086830051493334,0.9557770664092677,0.6434464281504546,1.0
