times,worst_case_minimum_information_eigenvalue,median_minimum_information_eigenvalue,all_sampled_clocks_monotone
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.11969831626736879, 0.3201135363491284]",4.7125686752257715e-09,4.719007506871173e-09,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.11969831626736879, 0.4093624833498013]",7.982679305117751e-09,7.99366199555018e-09,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.11969831626736879, 0.5234943972864351]",1.2739375136271924e-08,1.2757300781035465e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.11969831626736879, 0.6694467498530259]",1.9172264058875476e-08,1.9200144383601326e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.11969831626736879, 0.8560912078750774]",2.7161969219692522e-08,2.720301401169083e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.11969831626736879, 1.0947728947252522]",3.6190348175376094e-08,3.6247193651409986e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.11969831626736879, 1.4]",4.544698083009769e-08,4.552088002622202e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.15307069035205895, 0.1957474171359199]",3.2233338092848714e-09,3.22972036389489e-09,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.15307069035205895, 0.25032258773548044]",6.726596830094268e-09,6.7360192321511375e-09,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.15307069035205895, 0.3201135363491284]",1.2109563842579157e-08,1.212562203333408e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.15307069035205895, 0.4093624833498013]",2.031428172269038e-08,2.0341410172467745e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.15307069035205895, 0.5234943972864351]",3.2148444895132197e-08,3.219283347577278e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.15307069035205895, 0.6694467498530259]",4.806460139769249e-08,4.813423290402468e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.15307069035205895, 0.8560912078750774]",6.778412596101815e-08,6.788783904563262e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.15307069035205895, 1.0947728947252522]",9.00937804426187e-08,9.023928377009603e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.15307069035205895, 1.4]",1.1308461291634881e-07,1.1327620298574213e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.1957474171359199, 0.25032258773548044]",1.3762043508766637e-08,1.3786106154944431e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.1957474171359199, 0.3201135363491284]",2.516916602675403e-08,2.5203587496661722e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.1957474171359199, 0.4093624833498013]",4.196947501595469e-08,4.2026609199230865e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.1957474171359199, 0.5234943972864351]",6.59931554671712e-08,6.608707963828633e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.1957474171359199, 0.6694467498530259]",9.815523019470865e-08,9.830419050855004e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.1957474171359199, 0.8560912078750774]",1.3794637642587077e-07,1.3817116150932187e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.1957474171359199, 1.0947728947252522]",1.8306827586498584e-07,1.8338793028085544e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.1957474171359199, 1.4]",2.2986398942238292e-07,2.3029046945960578e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.25032258773548044, 0.3201135363491284]",4.640187241909655e-08,4.647802301627363e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.25032258773548044, 0.4093624833498013]",7.771115840590919e-08,7.782454524475728e-08,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.25032258773548044, 0.5234943972864351]",1.215947996037837e-07,1.217805636255263e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.25032258773548044, 0.6694467498530259]",1.8005414782141317e-07,1.8035163412369748e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.25032258773548044, 0.8560912078750774]",2.5231115580573736e-07,2.527656109194373e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.25032258773548044, 1.0947728947252522]",3.344978793960382e-07,3.351524263411711e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.25032258773548044, 1.4]",4.2035735519109717e-07,4.212417696737865e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.3201135363491284, 0.4093624833498013]",1.332688542166508e-07,1.3349978540803352e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.3201135363491284, 0.5234943972864351]",2.0842269304197883e-07,2.0877688872004498e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.3201135363491284, 0.6694467498530259]",3.0744325602327997e-07,3.0801223799517264e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.3201135363491284, 0.8560912078750774]",4.2970315236172943e-07,4.3058113161843523e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.3201135363491284, 1.0947728947252522]",5.692419565583603e-07,5.705208664728855e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.3201135363491284, 1.4]",7.161650446963593e-07,7.179134754722723e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.4093624833498013, 0.5234943972864351]",3.367184748170863e-07,3.373964335739543e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.4093624833498013, 0.6694467498530259]",4.958145360545232e-07,4.968656675035726e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.4093624833498013, 0.8560912078750774]",6.91420639182139e-07,6.930510568970019e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.4093624833498013, 1.0947728947252522]",9.154123372576007e-07,9.178093349073226e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.4093624833498013, 1.4]",1.1531101246283095e-06,1.156421427097621e-06,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.5234943972864351, 0.6694467498530259]",7.590010066036467e-07,7.609083153704011e-07,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.5234943972864351, 0.8560912078750774]",1.0572563097081871e-06,1.0601636187514167e-06,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.5234943972864351, 1.0947728947252522]",1.399186951622727e-06,1.4034861462272315e-06,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.5234943972864351, 1.4]",1.764569365186407e-06,1.7705597622930164e-06,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.6694467498530259, 0.8560912078750774]",1.5386121032233257e-06,1.5436143785780434e-06,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.6694467498530259, 1.0947728947252522]",2.0364424813046324e-06,2.043782772444901e-06,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.6694467498530259, 1.4]",2.570659483516037e-06,2.5809464774998537e-06,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.8560912078750774, 1.0947728947252522]",2.822987669073612e-06,2.8349171905338582e-06,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 0.8560912078750774, 1.4]",3.5661769933917258e-06,3.5828385793312954e-06,True
"[0.035, 0.04475814137899094, 0.07319476868138912, 1.0947728947252522, 1.4]",4.713130241328637e-06,4.738567808173246e-06,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.11969831626736879, 0.15307069035205895]",3.120815448611983e-10,3.130004151463584e-10,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.11969831626736879, 0.1957474171359199]",1.055107079883297e-09,1.0579738640973906e-09,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.11969831626736879, 0.25032258773548044]",2.455185954049576e-09,2.461602755544145e-09,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.11969831626736879, 0.3201135363491284]",4.876370553445144e-09,4.8888028590571165e-09,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.11969831626736879, 0.4093624833498013]",8.764902244650744e-09,8.786825690155676e-09,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.11969831626736879, 0.5234943972864351]",1.457064669184051e-08,1.4606481377165343e-08,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.11969831626736879, 0.6694467498530259]",2.2573297908583912e-08,2.2629100669485477e-08,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.11969831626736879, 0.8560912078750774]",3.265888587935259e-08,3.274121341211949e-08,True
"[0.035, 0.04475814137899094, 0.09360176585269005, 0.11969831626736879, 1.0947728947252522]",4.418899532843618e-08,4.430270962771269e-08,True
