uses,survival_probability,coherence_factor,fraction_of_ideal_threshold,time_per_use,product_erasure_lower,ghz_lower,best_feasible_lower,adaptive_hybrid_upper,certificate_gap
3,0.85,0.7,1.0,0.2398790046684631,0.4714379665757107,0.21064487499999993,0.4714379665757107,0.8924999999999998,0.42106203342428916
3,0.85,0.9,0.25,0.059969751167115774,0.17724527187150646,0.17132627245498264,0.17724527187150646,0.29955761114501833,0.12231233927351187
3,0.85,0.9,0.5,0.11993950233423155,0.34551931119298,0.3165696730052214,0.34551931119298,0.5939897085102851,0.24847039731730508
3,0.85,0.9,0.75,0.17990925350134732,0.4970204209178997,0.4136182105516471,0.4970204209178997,0.878258477277881,0.38123805635998126
3,0.85,0.9,1.0,0.2398790046684631,0.6260996190893978,0.447697125,0.6260996190893978,1.0,0.3739003809106022
3,0.85,1.0,0.25,0.059969751167115774,0.20490734406342218,0.23501546290121073,0.23501546290121073,0.33284179016113147,0.09782632725992074
3,0.85,1.0,0.5,0.11993950233423155,0.39798083881050084,0.4342519519961884,0.4342519519961884,0.6599885650114279,0.2257366130152395
3,0.85,1.0,0.75,0.17990925350134732,0.5689931613556767,0.5673775179034939,0.5689931613556767,0.9758427525309789,0.40684959117530217
3,0.85,1.0,1.0,0.2398790046684631,0.710684541117393,0.6141249999999999,0.710684541117393,1.0,0.289315458882607
3,0.95,0.7,0.25,0.059969751167115774,0.1382306368639837,0.11253940028363843,0.1382306368639837,0.26039975347900285,0.12216911661501914
3,0.95,0.7,0.5,0.11993950233423155,0.2710132825456619,0.20794569704629687,0.2710132825456619,0.5163439949795288,0.24533071243386684
3,0.95,0.7,0.75,0.17990925350134732,0.39355581989932314,0.2716941464660944,0.39355581989932314,0.763453447568354,0.36989762766903084
3,0.95,0.7,1.0,0.2398790046684631,0.5022581750734874,0.2940796249999999,0.5022581750734874,0.9974999999999997,0.49524182492651236
3,0.95,0.9,0.25,0.059969751167115774,0.18872842865549933,0.23918723850370976,0.23918723850370976,0.33479968304443225,0.09561244454072249
3,0.95,0.9,0.5,0.11993950233423155,0.36706328664480753,0.441960388182946,0.441960388182946,0.6638708506879657,0.22191046250501972
3,0.95,0.9,0.75,0.17990925350134732,0.5260758952444579,0.5774490751422242,0.5774490751422242,0.9815830040164553,0.40413392887423105
3,0.95,0.9,1.0,0.2398790046684631,0.6595190010763315,0.625026375,0.6595190010763315,1.0,0.34048099892366845
3,0.95,1.0,0.25,0.059969751167115774,0.21799727261963628,0.3281032078240188,0.3281032078240188,0.37199964782714695,0.043896440003128145
3,0.95,1.0,0.5,0.11993950233423155,0.4221096263687329,0.606255676519816,0.606255676519816,0.7376342785421841,0.13137860202236806
3,0.95,1.0,0.75,0.17990925350134732,0.6004846414104344,0.7921112141868644,0.7921112141868644,1.0,0.20788878581313563
3,0.95,1.0,1.0,0.2398790046684631,0.7450057114856468,0.8573749999999999,0.8573749999999999,1.0,0.1426250000000001
3,1.0,0.7,0.25,0.059969751167115774,0.14290563505156784,0.13126041730122576,0.14290563505156784,0.27410500366210827,0.13119936861054043
