design,input_energy,information_minimum_eigenvalue,information_determinant,information_condition_number
random_078,160.0,0.34390798105454234,1.6936311163957856,14.319713040413376
random_079,160.0,0.7702112020042348,5.457060611080607,9.198968167241567
random_080,160.0,0.18671895318906878,3.5447202481471924,101.67288763616618
random_081,160.0,0.15174256407691958,0.8753489530183926,38.01599659191535
random_082,160.0,0.4088591112020935,1.1251649758427509,6.730833452979916
random_083,160.0,0.16244636150370084,1.1104813184472806,42.08150660219904
random_084,160.0,0.26367308361181535,2.7663566717650343,39.79024171490487
random_085,160.0,0.28221508641495774,2.7393036841664706,34.39376576524171
random_086,160.0,0.1975239551126986,7.326389634778036,187.7804889581612
random_087,160.0,0.7632962479868948,4.864391111444994,8.349149373759586
random_088,160.0,0.34309923010388965,15.393064115722929,130.76321544590175
random_089,160.0,0.16104934359495526,1.7522586247896752,67.55854508162665
random_090,160.0,0.2867288524505062,5.725508108903372,69.64200098087076
random_091,160.0,0.5362037887504043,4.020086015155626,13.982202540137049
random_092,160.0,0.35296322762107746,20.8322444626134,167.2157338093782
random_093,160.0,0.17996075485660853,2.2819654140070655,70.4617532982544
random_094,160.0,0.22374221040876455,1.0883940285535325,21.741539948123354
random_095,160.0,0.5104885472730478,13.708536843365055,52.60403974065777
random_096,160.0,0.5947508904110856,2.1526167815158823,6.085503546494411
random_097,160.0,0.22719382696007695,2.241453436855681,43.424684050043695
random_098,160.0,0.45099357475589114,3.362718905179699,16.532931117643646
random_099,160.0,0.8747623705552872,10.046616404185086,13.129241440553926
random_100,160.0,0.319237230768715,2.1166686310460943,20.769488634862526
random_101,160.0,0.1528595314593898,1.4769068031463044,63.20741697560719
random_102,160.0,0.3702038577173987,6.9014317438919335,50.3567063899664
random_103,160.0,0.732659231614669,4.693940464840499,8.744470654699688
random_104,160.0,0.7845487574003059,66.71103374135775,108.38215766600614
random_105,160.0,0.16690292616530378,0.9196399103231138,33.01337375474037
random_106,160.0,0.8025280775400516,6.976036091495952,10.831491103926979
random_107,160.0,0.32874902170735565,9.248420110873425,85.57336521436756
random_108,160.0,0.32026286146567295,1.768140974702141,17.23866893784376
random_109,160.0,0.13227940898216053,0.8372373300932322,47.84803338304621
random_110,160.0,0.6991112963784027,7.511904807644515,15.369418510238123
random_111,160.0,0.4517082876152767,1.5910482148838914,7.797712577749157
random_112,160.0,0.32074406313053516,1.996536783506798,19.407074049565733
random_113,160.0,0.24084677965159584,3.732495630779728,64.3454171123107
random_114,160.0,0.2791572575357071,5.006245952062906,64.2413022451389
random_115,160.0,0.19667080926095803,3.078937564341206,79.60146718894177
random_116,160.0,0.46053146921844834,1.3183032755032547,6.215795350696203
random_117,160.0,0.31417690828211214,2.061179517455232,20.881769369321663
random_118,160.0,0.3166236448640957,4.0459936732758415,40.358824765339776
random_119,160.0,0.5400128815325036,4.696906975939972,16.106594298490833
random_120,160.0,0.6216946520015372,4.981840592370094,12.889484959210817
random_121,160.0,0.22178816807621002,2.968609247815651,60.34986299804647
random_122,160.0,0.8036373233892516,5.729022309679758,8.87074952038942
random_123,160.0,0.20084491551798012,1.8759117437079955,46.50404375030097
random_124,160.0,0.24503735192356474,2.687377095167947,44.75731552733143
random_125,160.0,0.3528821584633484,2.1731476686795683,17.451382434101586
random_126,160.0,0.3310863141558907,0.5936848713419998,5.415936004282996
random_127,160.0,0.33540763079339664,17.80585239090135,158.27666504513016
random_128,160.0,0.13518723535984797,1.0294423864540634,56.32882249359068
random_129,160.0,0.2859259766352903,6.307345895750436,77.15062026932647
random_130,160.0,0.34078344198389854,0.7981440673962585,6.87265146174614
random_131,160.0,0.23089524098916092,4.877055387728429,91.48033038106534
random_132,160.0,0.15978497738037045,0.8428664831253645,33.01314453414147
random_133,160.0,0.32925050364822295,1.0375922599818967,9.571363882864388
random_134,160.0,0.46912853220490874,2.293735865878482,10.422207386486821
random_135,160.0,0.7516499742548646,6.1829354378923,10.943680812904747
random_136,160.0,0.8870061127132826,12.680382165738807,16.116811154466014
random_137,160.0,0.3038951322944532,10.630114009325178,115.10400498597424
random_138,160.0,0.27939475331089336,4.235732728379272,54.26153258097508
