probe_count,noise_sigma,repetition,maximum_pole_error,maximum_residue_error,relative_curve_rmse,jacobian_minimum_singular_value,jacobian_condition_number
4,0.0001,18,0.16778967702754444,0.08335356436706198,9.375192667656895e-05,0.0004431148551486215,94442.79460782319
4,0.0001,19,0.1528280764073966,0.06149161010960521,9.800560131180531e-05,0.0004431148551486215,94442.79460782319
4,0.0001,20,0.15487080714158452,0.016090825959222385,9.888911335622261e-05,0.0004431148551486215,94442.79460782319
4,0.0001,21,0.09341834179278985,0.010840950016006198,9.233330786185237e-05,0.0004431148551486215,94442.79460782319
4,0.0001,22,0.5206635134201507,0.04819084523832402,0.00010148777530904187,0.0004431148551486215,94442.79460782319
4,0.0001,23,0.5949313374547605,0.043471301625878034,9.797950900618317e-05,0.0004431148551486215,94442.79460782319
4,0.001,0,0.07644930545549,0.0614916101284096,0.0009846207768156238,0.0004431148551486215,94442.79460782319
4,0.001,1,0.5005983221397909,0.030189484600483873,0.0009264021477769746,0.0004431148551486215,94442.79460782319
4,0.001,2,0.18133942960793092,0.061491610128428256,0.0009701634546835439,0.0004431148551486215,94442.79460782319
4,0.001,3,0.62109102057315,0.3663513541044427,0.0010074986691842311,0.0004431148551486215,94442.79460782319
4,0.001,4,0.6616908181195891,0.032733997251649945,0.0009202235042643118,0.0004431148551486215,94442.79460782319
4,0.001,5,0.40354894733244073,0.048649952961270795,0.0008506912124198733,0.0004431148551486215,94442.79460782319
4,0.001,6,0.12580281038069274,0.14338626837035157,0.0009448522529582609,0.0004431148551486215,94442.79460782319
4,0.001,7,0.6069696254862116,0.36897145634256734,0.0009366162659343236,0.0004431148551486215,94442.79460782319
4,0.001,8,0.0597500246388154,0.0887498828072171,0.0010035386226702261,0.0004431148551486215,94442.79460782319
4,0.001,9,0.33582618512480256,0.3867182642560247,0.0009653134229429526,0.0004431148551486215,94442.79460782319
4,0.001,10,0.027866758325636676,0.06149161012840508,0.0009885022627186225,0.0004431148551486215,94442.79460782319
4,0.001,11,0.6210910205731246,0.3694964495798579,0.0010515274952629943,0.0004431148551486215,94442.79460782319
4,0.001,12,0.66169081811648,0.0593303701287277,0.0009832488702984903,0.0004431148551486215,94442.79460782319
4,0.001,13,0.1443214111797153,0.061491610128428235,0.0010063110140286484,0.0004431148551486215,94442.79460782319
4,0.001,14,0.6616908181195882,0.05214631627209379,0.0009288982084744489,0.0004431148551486215,94442.79460782319
4,0.001,15,0.6102682116583801,0.35225779771794913,0.0009425094836115034,0.0004431148551486215,94442.79460782319
4,0.001,16,0.171463172124382,0.15284155963301646,0.0009519845478994925,0.0004431148551486215,94442.79460782319
4,0.001,17,0.6616908181195891,0.0834222609576449,0.000977879423431778,0.0004431148551486215,94442.79460782319
4,0.001,18,0.62109102057315,0.3899753182839322,0.0009905760458926382,0.0004431148551486215,94442.79460782319
4,0.001,19,0.1744899481578881,0.02813004098787497,0.000923007742287753,0.0004431148551486215,94442.79460782319
4,0.001,20,0.2590970078615371,0.30262096152524526,0.0009106255419300964,0.0004431148551486215,94442.79460782319
4,0.001,21,0.661690818119586,0.0887498828072171,0.0009478358085180668,0.0004431148551486215,94442.79460782319
4,0.001,22,0.6616908181194949,0.06753161106182363,0.0010231343803905897,0.0004431148551486215,94442.79460782319
