a,coarse_half_distance,inside_certified_maximizer_hull
0.31,0.4501852688991407,False
0.3125,0.44937598432317716,False
0.315,0.4485417125487895,False
0.3175,0.4476823313271619,False
0.32,0.4467977104394714,False
0.3225,0.44588771143694317,False
0.325,0.4449521873614453,False
0.3275,0.4439909824452453,False
0.33,0.44300393178841013,False
0.3325,0.4419908610121887,False
0.335,0.44095158588654215,False
0.3375,0.4398859119298065,False
0.34,0.43879363397826515,False
0.3425,0.43767453572317866,False
0.34500000000000003,0.4365283892125616,False
0.34750000000000003,0.43535495431471033,False
0.35000000000000003,0.43415397814015994,False
0.3525,0.4329251944183888,False
0.355,0.4316683228251756,False
0.3575,0.4303830682560583,False
0.36,0.4290691200408163,False
0.3625,0.4277261510933082,False
0.365,0.42635381699032565,False
0.3675,0.4249517549723556,False
0.37,0.42351958285827096,False
0.3725,0.4220568978649701,False
0.375,0.42056327532183546,False
0.3775,0.41903826726856686,False
0.38,0.4174814009234196,False
0.3825,0.41589217700712044,False
0.385,0.41427006790569226,False
0.3875,0.4126145156530482,False
0.39,0.41092492971144023,False
0.3925,0.40920068452460817,False
0.395,0.4074411168146619,False
0.3975,0.4056455225892396,False
0.4,0.403813153820161,False
0.4025,0.4019432147484831,False
0.405,0.4000348577633246,False
0.40750000000000003,0.3980871787927913,False
0.41000000000000003,0.39609921213447036,False
0.41250000000000003,0.3940699246398093,False
0.41500000000000004,0.3919982091507222,False
0.4175,0.3898828770672445,False
0.42,0.38772264990107785,False
0.4225,0.3855161496402259,False
0.425,0.38326188771307407,False
0.4275,0.3809582522941348,False
0.43,0.37860349363553125,False
0.4325,0.3761957070344551,False
0.435,0.3737328129523062,False
0.4375,0.37121253367919554,False
0.44,0.36863236577850916,False
0.4425,0.3659895473370764,False
0.445,0.36328101876839286,False
0.4475,0.3605033755423833,False
0.45,0.35765281070603017,False
0.4525,0.3547250443566061,False
0.455,0.3517152362454365,False
0.4575,0.3486178762901624,False
0.46,0.3454266457457939,False
0.4625,0.34213423878977917,False
0.465,0.33873212975470735,False
0.4675,0.335210264246923,False
0.47000000000000003,0.3315566412637354,False
0.47250000000000003,0.32775673516205606,False
0.47500000000000003,0.3237926752590096,False
0.47750000000000004,0.31964204570032634,False
0.48,0.31527606539583286,False
0.4825,0.31065670432282444,False
0.485,0.305731859498546,False
0.4875,0.3004267047209091,False
0.49,0.2946266799946533,False
0.4925,0.288139412509764,False
0.495,0.28059073479406615,False
0.4975,0.27101713973558855,False
0.5,0.2493137594076768,False
