mean_mode_loss,phase_parameter_sigma,repetition,response_rank,response_minimum_singular_value,completeness_residual,minimum_effect_eigenvalue,maximum_effect_error_from_ideal_detector_model,mean_realized_transmission
0.03,0.0001,10,5,0.2325889869362835,2.2570891171732507e-16,0.01835833813509418,0.03964892708967682,0.9676069607121612
0.03,0.0001,11,5,0.23286349301650394,2.2862939251711443e-16,0.018377781859628853,0.03322859118973516,0.969115991415655
0.03,0.001,0,5,0.23340376885083935,2.250546470332675e-16,0.01843555184766147,0.030456232805079943,0.971284985512837
0.03,0.001,1,5,0.23243703969128307,2.2432085764736213e-16,0.01833137164012534,0.03332807874799054,0.9680609941468163
0.03,0.001,2,5,0.23237031229580352,2.3910516573321923e-16,0.018298645479594873,0.033820458386857044,0.9675586628233166
0.03,0.001,3,5,0.23383869951760256,2.3226487506492267e-16,0.018191765427841088,0.030760692201818287,0.9694041370130017
0.03,0.001,4,5,0.2316967072687082,2.3208197640508084e-16,0.01865388949450176,0.037514487105322965,0.9657917669400449
0.03,0.001,5,5,0.23363789339351224,2.2474719387483464e-16,0.018164627947640975,0.03420086794858903,0.9684730974153081
0.03,0.001,6,5,0.23272794562341723,2.2437109460921954e-16,0.018408279755808967,0.02980112734596857,0.9693687983813825
0.03,0.001,7,5,0.23220594121571683,3.874745781906286e-17,0.018507095235293106,0.03413773364953545,0.9695814638817328
0.03,0.001,8,5,0.23238430627204767,4.45419413909179e-16,0.018363781343343617,0.03662260624987102,0.9653988858872431
0.03,0.001,9,5,0.2330489484098431,2.236331017960377e-16,0.01835404208825178,0.03641348316966787,0.9692571335510229
0.03,0.001,10,5,0.2318337056243148,2.2590681806328735e-16,0.018312322788445905,0.033848302151516726,0.9678581773663161
0.03,0.001,11,5,0.2334464192743246,2.389870949709316e-16,0.018542641890337448,0.032417868427879006,0.9691589034999564
0.08,0.0,0,5,0.2204554117296339,2.2663996673365267e-16,0.017297103525620278,0.09359191770018199,0.9172337886649952
0.08,0.0,1,5,0.2202624840501198,2.242049480631891e-16,0.017492512792656095,0.09028410564826904,0.9163935785791525
0.08,0.0,2,5,0.21970275741701767,1.1762034266760604e-16,0.017272811880514966,0.08599417764747612,0.9160014942944107
0.08,0.0,3,5,0.22020316859273986,2.241083514382551e-16,0.017468418869903978,0.09316863051998824,0.918397890672422
0.08,0.0,4,5,0.21734366031437546,2.3473582059741966e-16,0.017353181346379823,0.09408879957494781,0.910450072490363
0.08,0.0,5,5,0.21963313548636773,2.2580182103249015e-16,0.017341205732044104,0.09515160111771301,0.9133612650307161
0.08,0.0,6,5,0.22146951038320115,2.2422761833239e-16,0.017356149595497146,0.09747012255197665,0.9217162087723629
0.08,0.0,7,5,0.2197952159613082,2.257383182319907e-16,0.0173564088267526,0.09938329758663461,0.9168202983293843
0.08,0.0,8,5,0.2185333545342602,2.435888488188701e-16,0.017162529646494815,0.08676286148315132,0.9147422132043554
0.08,0.0,9,5,0.21951349008972745,2.3252456579657917e-16,0.01727574713213941,0.09369324804056954,0.9140296838265355
0.08,0.0,10,5,0.21885161239665415,2.2741061787394873e-16,0.017222463909057517,0.09498559138666922,0.915334089130571
0.08,0.0,11,5,0.2197849358011698,2.2418209110636193e-16,0.017277881457254292,0.09269289280911688,0.9147155504980213
0.08,0.0001,0,5,0.21956514938600605,2.3544045437896763e-16,0.01736983200340557,0.08619540412945245,0.9146636670395298
0.08,0.0001,1,5,0.2177944591841181,2.2330994291939014e-16,0.017503672816153636,0.09356190972750365,0.9136543246286313
0.08,0.0001,2,5,0.22077804615915017,3.338437735928014e-16,0.017407413988411252,0.09060356697630524,0.9189866454271834
0.08,0.0001,3,5,0.21915808953183313,2.2812580183136454e-16,0.01726897417324619,0.09286108891412918,0.9122067174747319
0.08,0.0001,4,5,0.21991851277502075,2.380351730283851e-16,0.01733218288048026,0.08532147148763684,0.9168668040985115
0.08,0.0001,5,5,0.2211359003661369,2.229380342069699e-16,0.017211705606779162,0.0876382347848068,0.9204966536423282
0.08,0.0001,6,5,0.21780882193962994,4.450860170541177e-16,0.01711800803097941,0.09268067257196283,0.9102880419166096
0.08,0.0001,7,5,0.22051964613373432,2.3419668170551994e-16,0.01736301581001927,0.08678143104569,0.9172842594148831
0.08,0.0001,8,5,0.21911348257534405,2.2767181391120237e-16,0.017174567182891422,0.09209495382365143,0.9129661333779756
